x,d,v,p,e
0.000000,0.988653,0.763400,0.984243,2.488849
0.010101,0.988653,0.763400,0.984243,2.488849
0.020202,0.986376,0.766091,0.981102,2.486634
0.030303,0.986376,0.766091,0.981102,2.486634
0.040404,0.982136,0.771098,0.975277,2.482542
0.050505,0.982136,0.771098,0.975277,2.482542
0.060606,0.976030,0.778313,0.966932,2.476697
0.070707,0.976030,0.778313,0.966932,2.476697
0.080808,0.968035,0.787774,0.956075,2.469113
0.090909,0.968035,0.787774,0.956075,2.469113
0.101010,0.958080,0.799583,0.942662,2.459767
0.111111,0.958080,0.799583,0.942662,2.459767
0.121212,0.946098,0.813849,0.926662,2.448643
0.131313,0.946098,0.813849,0.926662,2.448643
0.141414,0.932051,0.830651,0.908104,2.435768
0.151515,0.932051,0.830651,0.908104,2.435768
0.161616,0.915955,0.850018,0.887094,2.421226
0.171717,0.915955,0.850018,0.887094,2.421226
0.181818,0.897881,0.871918,0.863821,2.405166
0.191919,0.897881,0.871918,0.863821,2.405166
0.202020,0.877959,0.896254,0.838558,2.387805
0.212121,0.877959,0.896254,0.838558,2.387805
0.222222,0.856371,0.922866,0.811644,2.369428
0.232323,0.856371,0.922866,0.811644,2.369428
0.242424,0.833343,0.951530,0.783471,2.350385
0.252525,0.833343,0.951530,0.783471,2.350385
0.262626,0.809133,0.981965,0.754467,2.331098
0.272727,0.809133,0.981965,0.754467,2.331098
0.282828,0.784023,1.013832,0.725082,2.312058
0.292929,0.784023,1.013832,0.725082,2.312058
0.303030,0.758305,1.046737,0.695771,2.293837
0.313131,0.758305,1.046737,0.695771,2.293837
0.323232,0.732272,1.080235,0.666983,2.277101
0.333333,0.732272,1.080235,0.666983,2.277101
0.343434,0.706201,1.113828,0.639146,2.262620
0.353535,0.706201,1.113828,0.639146,2.262620
0.363636,0.680345,1.146974,0.612663,2.251294
0.373737,0.680345,1.146974,0.612663,2.251294
0.383838,0.654917,1.179095,0.587896,2.244160
0.393939,0.654917,1.179095,0.587896,2.244160
0.404040,0.630076,1.209594,0.565155,2.242408
0.414141,0.630076,1.209594,0.565155,2.242408
0.424242,0.605917,1.237882,0.544687,2.247368
0.434343,0.605917,1.237882,0.544687,2.247368
0.444444,0.582464,1.263405,0.526659,2.260478
0.454545,0.582464,1.263405,0.526659,2.260478
0.464646,0.559670,1.285682,0.511139,2.283215
0.474747,0.559670,1.285682,0.511139,2.283215
0.484848,0.537430,1.304341,0.498085,2.316974
0.494949,0.537430,1.304341,0.498085,2.316974
0.505051,0.515602,1.319129,0.487327,2.362901
0.515152,0.515602,1.319129,0.487327,2.362901
0.525253,0.494040,1.329904,0.478560,2.421671
0.535354,0.494040,1.329904,0.478560,2.421671
0.545455,0.472625,1.336579,0.471343,2.493218
0.555556,0.472625,1.336579,0.471343,2.493218
0.565657,0.451292,1.339023,0.465090,2.576437
0.575758,0.451292,1.339023,0.465090,2.576437
0.585859,0.430021,1.336893,0.459066,2.668860
0.595960,0.430021,1.336893,0.459066,2.668860
0.606061,0.408806,1.329412,0.452360,2.766351
0.616162,0.408806,1.329412,0.452360,2.766351
0.626263,0.387576,1.315061,0.443830,2.862856
0.636364,0.387576,1.315061,0.443830,2.862856
0.646465,0.366102,1.291201,0.432036,2.950245
0.656566,0.366102,1.291201,0.432036,2.950245
0.666667,0.343899,1.253645,0.415193,3.018284
0.676768,0.343899,1.253645,0.415193,3.018284
0.686869,0.320214,1.196328,0.391279,3.054826
0.696970,0.320214,1.196328,0.391279,3.054826
0.707071,0.294194,1.111481,0.358500,3.046463
0.717172,0.294194,1.111481,0.358500,3.046463
0.727273,0.265349,0.991171,0.316347,2.980481
0.737374,0.265349,0.991171,0.316347,2.980481
0.747475,0.234295,0.831484,0.267083,2.849852
0.757576,0.234295,0.831484,0.267083,2.849852
0.767677,0.203298,0.639642,0.216525,2.662657
0.777778,0.203298,0.639642,0.216525,2.662657
0.787879,0.175798,0.439653,0.172359,2.451091
0.797980,0.175798,0.439653,0.172359,2.451091
0.808081,0.154695,0.265861,0.140062,2.263524
0.818182,0.154695,0.265861,0.140062,2.263524
0.828283,0.140760,0.142261,0.120135,2.133681
0.838384,0.140760,0.142261,0.120135,2.133681
0.848485,0.132721,0.069059,0.109424,2.061168
0.858586,0.132721,0.069059,0.109424,2.061168
0.868687,0.128554,0.031317,0.104197,2.026324
0.878788,0.128554,0.031317,0.104197,2.026324
0.888889,0.126560,0.013557,0.101803,2.010953
0.898990,0.126560,0.013557,0.101803,2.010953
0.909091,0.125659,0.005668,0.100751,2.004459
0.919192,0.125659,0.005668,0.100751,2.004459
0.929293,0.125269,0.002300,0.100304,2.001779
0.939394,0.125269,0.002300,0.100304,2.001779
0.949495,0.125107,0.000907,0.100120,2.000694
0.959596,0.125107,0.000907,0.100120,2.000694
0.969697,0.125041,0.000350,0.100046,2.000266
0.979798,0.125041,0.000350,0.100046,2.000266
0.989899,0.125017,0.000147,0.100019,2.000112
1.000000,0.125017,0.000147,0.100019,2.000112
