x,d,v,p,e
0.000000,1.000000,0.750000,1.000000,2.500000
0.010101,1.000000,0.750000,1.000000,2.500000
0.020202,1.000000,0.750000,1.000000,2.500000
0.030303,1.000000,0.750000,1.000000,2.500000
0.040404,1.000000,0.750000,1.000000,2.500000
0.050505,1.000000,0.750000,1.000000,2.500000
0.060606,1.000000,0.750000,1.000000,2.500000
0.070707,1.000000,0.750000,1.000000,2.499999
0.080808,0.999999,0.750000,1.000000,2.500002
0.090909,1.000003,0.750000,1.000000,2.499993
0.101010,0.999991,0.750000,1.000000,2.500022
0.111111,1.000026,0.750001,1.000000,2.499935
0.121212,0.999930,0.750002,0.999997,2.500169
0.131313,1.000156,0.750009,0.999989,2.499584
0.141414,0.999620,0.750035,0.999957,2.500843
0.151515,1.000549,0.750128,0.999850,2.498254
0.161616,0.998597,0.750413,0.999507,2.502277
0.171717,1.000329,0.751230,0.998552,2.495557
0.181818,0.995948,0.753275,0.996128,2.500451
0.191919,0.993994,0.757808,0.990799,2.491964
0.202020,0.986507,0.766623,0.980503,2.484783
0.212121,0.972850,0.781477,0.963366,2.475628
0.222222,0.955546,0.803450,0.938445,2.455257
0.232323,0.933577,0.832334,0.906620,2.427812
0.242424,0.904746,0.866817,0.869729,2.403242
0.252525,0.874916,0.905071,0.830422,2.372861
0.262626,0.844855,0.946010,0.789923,2.337450
0.272727,0.815594,0.988348,0.750026,2.299018
0.282828,0.783260,1.032728,0.709740,2.265339
0.292929,0.752850,1.076915,0.671975,2.231437
0.303030,0.705064,1.148181,0.614119,2.177532
0.313131,0.676985,1.193214,0.579901,2.141485
0.323232,0.652623,1.234891,0.549674,2.105635
0.333333,0.631084,1.272889,0.523289,2.072977
0.343434,0.611957,1.305243,0.501672,2.049456
0.353535,0.596475,1.329613,0.485884,2.036484
0.363636,0.587562,1.345115,0.476081,2.025662
0.373737,0.585599,1.353156,0.471070,2.011062
0.383838,0.585107,1.356465,0.469011,2.003954
0.393939,0.580329,1.357515,0.468350,2.017607
0.404040,0.573935,1.357780,0.468158,2.039248
0.414141,0.574950,1.357925,0.468019,2.035039
0.424242,0.586309,1.358245,0.467841,1.994857
0.434343,0.598112,1.358833,0.467659,1.954731
0.444444,0.596347,1.359540,0.467450,1.959641
0.454545,0.577861,1.360045,0.467104,2.020833
0.464646,0.555339,1.360171,0.466592,2.100485
0.474747,0.547349,1.360278,0.466170,2.129219
0.484848,0.563250,1.360957,0.466182,2.069162
0.494949,0.595973,1.361959,0.466489,1.956839
0.505051,0.627310,1.362410,0.466538,1.859281
0.515152,0.639875,1.362044,0.466113,1.821108
0.525253,0.626119,1.361376,0.465536,1.858819
0.535354,0.589492,1.360937,0.465162,1.972726
0.545455,0.539853,1.360625,0.464918,2.152982
0.555556,0.487904,1.359788,0.464419,2.379660
0.565657,0.441874,1.358708,0.463858,2.624378
0.575758,0.406716,1.360899,0.465057,2.858611
0.585859,0.383827,1.370970,0.470166,3.062358
0.595960,0.369820,1.383664,0.476425,3.220654
0.606061,0.356928,1.377716,0.473435,3.316044
0.616162,0.339794,1.337265,0.454247,3.342076
0.626263,0.324759,1.291033,0.433433,3.336575
0.636364,0.326316,1.307885,0.441052,3.379027
0.646465,0.347966,1.403273,0.485664,3.489308
0.656566,0.367266,1.480660,0.524858,3.572741
0.666667,0.350648,1.419050,0.493549,3.518835
0.676768,0.305831,1.226585,0.406517,3.323051
0.686869,0.291191,1.155216,0.378063,3.245833
0.696970,0.336707,1.359819,0.465408,3.455589
0.707071,0.395335,1.576457,0.578594,3.658886
0.717172,0.364513,1.477383,0.523468,3.590180
0.727273,0.234342,0.871292,0.280102,2.988183
0.737374,0.145252,0.183716,0.126668,2.180140
0.747475,0.126657,0.014118,0.101883,2.011013
0.757576,0.125102,0.000866,0.100115,2.000656
0.767677,0.125006,0.000052,0.100007,2.000039
0.777778,0.125000,0.000003,0.100000,2.000002
0.787879,0.125000,0.000000,0.100000,2.000000
0.797980,0.125000,0.000000,0.100000,2.000000
0.808081,0.125000,0.000000,0.100000,2.000000
0.818182,0.125000,0.000000,0.100000,2.000000
0.828283,0.125000,0.000000,0.100000,2.000000
0.838384,0.125000,0.000000,0.100000,2.000000
0.848485,0.125000,0.000000,0.100000,2.000000
0.858586,0.125000,0.000000,0.100000,2.000000
0.868687,0.125000,0.000000,0.100000,2.000000
0.878788,0.125000,0.000000,0.100000,2.000000
0.888889,0.125000,0.000000,0.100000,2.000000
0.898990,0.125000,0.000000,0.100000,2.000000
0.909091,0.125000,0.000000,0.100000,2.000000
0.919192,0.125000,0.000000,0.100000,2.000000
0.929293,0.125000,0.000000,0.100000,2.000000
0.939394,0.125000,0.000000,0.100000,2.000000
0.949495,0.125000,0.000000,0.100000,2.000000
0.959596,0.125000,0.000000,0.100000,2.000000
0.969697,0.125000,0.000000,0.100000,2.000000
0.979798,0.125000,0.000000,0.100000,2.000000
0.989899,0.125000,0.000000,0.100000,2.000000
1.000000,0.125000,0.000000,0.100000,2.000000
