x,d,v,p,e
0.000000,0.951083,-17.744295,932.606877,2451.433947
0.010101,0.951083,-17.744295,932.606877,2451.433947
0.020202,0.944175,-17.478282,923.246441,2444.584392
0.030303,0.944175,-17.478282,923.246441,2444.584392
0.040404,0.934699,-17.111281,910.460438,2435.168845
0.050505,0.934699,-17.111281,910.460438,2435.168845
0.060606,0.923868,-16.688429,895.914497,2424.357225
0.070707,0.923868,-16.688429,895.914497,2424.357225
0.080808,0.912049,-16.222782,880.124720,2412.491868
0.090909,0.912049,-16.222782,880.124720,2412.491868
0.101010,0.899397,-15.719142,863.312875,2399.698556
0.111111,0.899397,-15.719142,863.312875,2399.698556
0.121212,0.886019,-15.180459,845.633631,2386.049005
0.131313,0.886019,-15.180459,845.633631,2386.049005
0.141414,0.872018,-14.609491,827.231519,2371.601859
0.151515,0.872018,-14.609491,827.231519,2371.601859
0.161616,0.857504,-14.009197,808.252759,2356.410778
0.171717,0.857504,-14.009197,808.252759,2356.410778
0.181818,0.842595,-13.382802,788.845606,2340.523492
0.191919,0.842595,-13.382802,788.845606,2340.523492
0.202020,0.827415,-12.733778,769.158156,2323.978121
0.212121,0.827415,-12.733778,769.158156,2323.978121
0.222222,0.812095,-12.065808,749.335916,2306.798342
0.232323,0.812095,-12.065808,749.335916,2306.798342
0.242424,0.796771,-11.382765,729.519721,2288.987634
0.252525,0.796771,-11.382765,729.519721,2288.987634
0.262626,0.781587,-10.688676,709.844085,2270.522473
0.272727,0.781587,-10.688676,709.844085,2270.522473
0.282828,0.766693,-9.987705,690.435943,2251.344224
0.292929,0.766693,-9.987705,690.435943,2251.344224
0.303030,0.752251,-9.284132,671.413707,2231.349448
0.313131,0.752251,-9.284132,671.413707,2231.349448
0.323232,0.738433,-8.582327,652.886544,2210.378405
0.333333,0.738433,-8.582327,652.886544,2210.378405
0.343434,0.725429,-7.886722,634.953791,2188.201695
0.353535,0.725429,-7.886722,634.953791,2188.201695
0.363636,0.713448,-7.201776,617.704417,2164.505309
0.373737,0.713448,-7.201776,617.704417,2164.505309
0.383838,0.702725,-6.531926,601.216481,2138.874949
0.393939,0.702725,-6.531926,601.216481,2138.874949
0.404040,0.693531,-5.881522,585.556526,2110.781339
0.414141,0.693531,-5.881522,585.556526,2110.781339
0.424242,0.686174,-5.254762,570.778879,2079.569592
0.434343,0.686174,-5.254762,570.778879,2079.569592
0.444444,0.681018,-4.655602,556.924831,2044.457274
0.454545,0.681018,-4.655602,556.924831,2044.457274
0.464646,0.678484,-4.087672,544.021677,2004.547610
0.474747,0.678484,-4.087672,544.021677,2004.547610
0.484848,0.679069,-3.554194,532.081565,1958.865493
0.494949,0.679069,-3.554194,532.081565,1958.865493
0.505051,0.683348,-3.057927,521.100035,1906.423732
0.515152,0.683348,-3.057927,521.100035,1906.423732
0.525253,0.691989,-2.601160,511.053967,1846.323744
0.535354,0.691989,-2.601160,511.053967,1846.323744
0.545455,0.705751,-2.185790,501.898433,1777.887459
0.555556,0.705751,-2.185790,501.898433,1777.887459
0.565657,0.725482,-1.813517,493.561605,1700.805492
0.575758,0.725482,-1.813517,493.561605,1700.805492
0.585859,0.752097,-1.486196,485.936544,1615.273099
0.595960,0.752097,-1.486196,485.936544,1615.273099
0.606061,0.786538,-1.206364,478.868495,1522.075956
0.616162,0.786538,-1.206364,478.868495,1522.075956
0.626263,0.829713,-0.977910,472.136706,1422.589615
0.636364,0.829713,-0.977910,472.136706,1422.589615
0.646465,0.882384,-0.806820,465.430974,1318.674246
0.656566,0.882384,-0.806820,465.430974,1318.674246
0.666667,0.945019,-0.701824,458.325613,1212.476645
0.676768,0.945019,-0.701824,458.325613,1212.476645
0.686869,1.017593,-0.674796,450.257217,1106.182387
0.696970,1.017593,-0.674796,450.257217,1106.182387
0.707071,1.099338,-0.740682,440.516795,1001.777407
0.717172,1.099338,-0.740682,440.516795,1001.777407
0.727273,1.188488,-0.916884,428.270397,900.872346
0.737374,1.188488,-0.916884,428.270397,900.872346
0.747475,1.282045,-1.222048,412.623094,804.618838
0.757576,1.282045,-1.222048,412.623094,804.618838
0.767677,1.375673,-1.674308,392.736922,713.717996
0.777778,1.375673,-1.674308,392.736922,713.717996
0.787879,1.463809,-2.289049,368.001892,628.500419
0.797980,1.463809,-2.289049,368.001892,628.500419
0.808081,1.540116,-3.076191,338.240055,549.049814
0.818182,1.540116,-3.076191,338.240055,549.049814
0.828283,1.598301,-4.036939,303.898577,475.346137
0.838384,1.598301,-4.036939,303.898577,475.346137
0.848485,1.633281,-5.159924,266.167379,407.412154
0.858586,1.633281,-5.159924,266.167379,407.412154
0.868687,1.642436,-6.416838,226.952978,345.451713
0.878788,1.642436,-6.416838,226.952978,345.451713
0.888889,1.626642,-7.758165,188.666064,289.962554
0.898990,1.626642,-7.758165,188.666064,289.962554
0.909091,1.590641,-9.110552,153.839422,241.788464
0.919192,1.590641,-9.110552,153.839422,241.788464
0.929293,1.542531,-10.378540,124.668896,202.052562
0.939394,1.542531,-10.378540,124.668896,202.052562
0.949495,1.492411,-11.453768,102.626478,171.913944
0.959596,1.492411,-11.453768,102.626478,171.913944
0.969697,1.450626,-12.232733,88.289900,152.158236
0.979798,1.450626,-12.232733,88.289900,152.158236
0.989899,1.426238,-12.638843,81.452101,142.774398
1.000000,1.426238,-12.638843,81.452101,142.774398
