x,d,v,p,e
0.000000,0.692755,0.019295,0.598156,2.158615
0.010101,0.736760,0.012248,0.652548,2.214248
0.020202,0.707341,0.041798,0.616286,2.178180
0.030303,0.742471,0.049991,0.659928,2.222065
0.040404,0.704484,0.082164,0.613288,2.176371
0.050505,0.732617,0.093399,0.648062,2.211464
0.060606,0.692489,0.125833,0.599237,2.163347
0.070707,0.716510,0.135678,0.628654,2.193459
0.080808,0.675269,0.169314,0.579058,2.143808
0.090909,0.696267,0.176897,0.604489,2.170463
0.101010,0.654274,0.212291,0.554673,2.119421
0.111111,0.672741,0.217756,0.576756,2.143307
0.121212,0.630373,0.255013,0.527263,2.091073
0.131313,0.646659,0.258731,0.546462,2.112635
0.141414,0.604319,0.297727,0.497836,2.059491
0.151515,0.618743,0.300085,0.514572,2.079103
0.161616,0.576813,0.340608,0.467302,2.025359
0.171717,0.589667,0.341949,0.481959,2.043352
0.181818,0.548484,0.383752,0.436443,1.989316
0.191919,0.560020,0.384364,0.449355,2.005979
0.202020,0.519870,0.427187,0.405902,1.951942
0.212121,0.530296,0.427298,0.417346,1.967515
0.222222,0.491415,0.470872,0.376179,1.913756
0.232323,0.500899,0.470655,0.386380,1.928430
0.242424,0.463480,0.514704,0.347650,1.875214
0.252525,0.472153,0.514286,0.356786,1.889141
0.262626,0.436356,0.558512,0.320588,1.836731
0.272727,0.444320,0.557984,0.328801,1.850024
0.282828,0.410279,0.602058,0.295188,1.798700
0.292929,0.417614,0.601487,0.302594,1.811445
0.303030,0.385449,0.645027,0.271589,1.761511
0.313131,0.392218,0.644461,0.278283,1.773774
0.323232,0.362041,0.687005,0.249894,1.725588
0.333333,0.368299,0.686484,0.255956,1.737418
0.343434,0.340222,0.727453,0.230184,1.691426
0.353535,0.346012,0.727015,0.235684,1.702858
0.363636,0.320155,0.765677,0.212536,1.659636
0.373737,0.325514,0.765363,0.217533,1.670689
0.383838,0.302006,0.800786,0.197029,1.631007
0.393939,0.306965,0.800645,0.201576,1.641690
0.404040,0.285940,0.831672,0.183755,1.606587
0.414141,0.290523,0.831772,0.187897,1.616887
0.424242,0.272109,0.857023,0.172817,1.587752
0.434343,0.276335,0.857451,0.176593,1.597632
0.444444,0.260616,0.875419,0.164319,1.576259
0.454545,0.264499,0.876285,0.167762,1.585652
0.464646,0.251467,0.885540,0.158345,1.574209
0.474747,0.255019,0.886969,0.161479,1.583014
0.484848,0.244512,0.886497,0.154910,1.583869
0.494949,0.247743,0.888610,0.157759,1.591963
0.505051,0.239396,0.878200,0.153915,1.607332
0.515152,0.242322,0.881084,0.156499,1.614584
0.525253,0.235566,0.861576,0.155103,1.646065
0.535354,0.238209,0.865259,0.157444,1.652374
0.545455,0.232357,0.838497,0.158051,1.700515
0.555556,0.234745,0.842929,0.160175,1.705840
0.565657,0.229140,0.811363,0.162218,1.769857
0.575758,0.231306,0.816434,0.164157,1.774238
0.585859,0.225486,0.782554,0.167031,1.851901
0.595960,0.227460,0.788114,0.168818,1.855468
0.606061,0.221265,0.753949,0.171977,1.943109
0.616162,0.223070,0.759847,0.173644,1.946069
0.626263,0.216626,0.726679,0.176654,2.038697
0.636364,0.218276,0.732783,0.178228,2.041317
0.646465,0.211884,0.701073,0.180774,2.132938
0.656566,0.213391,0.707286,0.182280,2.135515
0.666667,0.207360,0.676698,0.184113,2.219728
0.676768,0.208734,0.682962,0.185568,2.222543
0.686869,0.203221,0.652375,0.186422,2.293337
0.696970,0.204476,0.658671,0.187841,2.296618
0.707071,0.199373,0.626113,0.187337,2.349076
0.717172,0.200527,0.632453,0.188733,2.352961
0.727273,0.195413,0.595002,0.186311,2.383555
0.737374,0.196489,0.601415,0.187693,2.388084
0.747475,0.190675,0.555255,0.182629,2.394513
0.757576,0.191690,0.561754,0.183994,2.399621
0.767677,0.184401,0.502755,0.175596,2.380636
0.777778,0.185361,0.509282,0.176919,2.386148
0.787879,0.176091,0.434594,0.164971,2.342131
0.797980,0.176975,0.440946,0.166195,2.347726
0.808081,0.165931,0.351677,0.151498,2.282537
0.818182,0.166695,0.357474,0.152542,2.287744
0.828283,0.155003,0.261089,0.137071,2.210774
0.838384,0.155600,0.265861,0.137866,2.215066
0.848485,0.144911,0.175172,0.124060,2.140279
0.858586,0.145322,0.178603,0.124589,2.143316
0.868687,0.136954,0.105756,0.114125,2.083271
0.878788,0.137202,0.107877,0.114432,2.085095
0.888889,0.131543,0.057881,0.107585,2.044675
0.898990,0.131675,0.059019,0.107742,2.045619
0.909091,0.128303,0.029118,0.103776,2.022081
0.919192,0.128366,0.029661,0.103849,2.022517
0.929293,0.126555,0.013645,0.101761,2.010217
0.939394,0.126582,0.013881,0.101792,2.010401
0.949495,0.125688,0.006011,0.100775,2.004466
0.959596,0.125699,0.006107,0.100787,2.004539
0.969697,0.125288,0.002511,0.100323,2.001856
0.979798,0.125292,0.002547,0.100328,2.001884
0.989899,0.125123,0.001077,0.100138,2.000789
1.000000,0.125124,0.001088,0.100139,2.000797
