x,d,v,p,e
0.000000,0.999125,0.000109,0.998775,2.499125
0.010101,0.998982,0.000442,0.998576,2.498982
0.020202,0.998317,0.001109,0.997645,2.498316
0.030303,0.997010,0.002321,0.995817,2.497008
0.040404,0.994552,0.004602,0.992382,2.494544
0.050505,0.990252,0.008649,0.986382,2.490228
0.060606,0.983208,0.015380,0.976576,2.483135
0.070707,0.972452,0.025802,0.961656,2.472247
0.080808,0.957172,0.040801,0.940577,2.456658
0.090909,0.936969,0.060905,0.912911,2.435810
0.101010,0.912004,0.086124,0.879048,2.409660
0.111111,0.882974,0.115945,0.840125,2.378681
0.121212,0.850921,0.149492,0.797731,2.343728
0.131313,0.816990,0.185736,0.753534,2.305823
0.141414,0.782217,0.223706,0.708989,2.265959
0.151515,0.747427,0.262600,0.665203,2.224974
0.161616,0.713204,0.301831,0.622915,2.183509
0.171717,0.679924,0.341006,0.582564,2.142017
0.181818,0.647809,0.379884,0.544366,2.100797
0.191919,0.616971,0.418334,0.508395,2.060042
0.202020,0.587452,0.456293,0.474629,2.019865
0.212121,0.559249,0.493743,0.442999,1.980330
0.222222,0.532334,0.530691,0.413405,1.941471
0.232323,0.506669,0.567160,0.385735,1.903289
0.242424,0.482190,0.603176,0.359874,1.865830
0.252525,0.458891,0.638775,0.335708,1.828911
0.262626,0.436585,0.673985,0.313123,1.793027
0.272727,0.415518,0.708835,0.292026,1.757000
0.282828,0.395137,0.743381,0.272294,1.722780
0.292929,0.375984,0.777573,0.253878,1.688093
0.303030,0.357604,0.811594,0.236625,1.654239
0.313131,0.340037,0.845205,0.220553,1.621542
0.323232,0.323221,0.878835,0.205447,1.589059
0.333333,0.307464,0.911833,0.191462,1.556780
0.343434,0.292045,0.945381,0.178156,1.525077
0.353535,0.278037,0.977284,0.166150,1.493953
0.363636,0.262822,1.012536,0.153977,1.464652
0.373737,0.252868,1.036085,0.145415,1.437657
0.383838,0.233228,1.093247,0.129981,1.393284
0.393939,0.228663,1.096516,0.126559,1.383680
0.404040,0.219859,1.121397,0.119130,1.354612
0.414141,0.210141,1.142102,0.112859,1.342661
0.424242,0.200746,1.167160,0.105849,1.318200
0.434343,0.188403,1.232827,0.094169,1.249574
0.444444,0.142328,1.418673,0.066063,1.160405
0.454545,0.125403,1.544474,0.052331,1.043248
0.464646,0.178236,1.227392,0.088017,1.234548
0.474747,0.212718,1.058100,0.114050,1.340395
0.484848,0.223176,0.992403,0.125092,1.401274
0.494949,0.234402,0.948191,0.132623,1.414483
0.505051,0.249653,0.911428,0.138949,1.391425
0.515152,0.256169,0.879568,0.144621,1.411378
0.525253,0.251130,0.852088,0.149704,1.490305
0.535354,0.250393,0.827920,0.154261,1.540187
0.545455,0.266092,0.806028,0.158428,1.488475
0.555556,0.289880,0.785784,0.162408,1.400647
0.565657,0.303016,0.767162,0.166254,1.371660
0.575758,0.295443,0.750139,0.169861,1.437342
0.585859,0.271700,0.734600,0.173081,1.592573
0.595960,0.243329,0.720455,0.175869,1.806899
0.606061,0.219614,0.707646,0.178292,2.029609
0.616162,0.203970,0.695591,0.180353,2.210529
0.626263,0.195393,0.683006,0.181894,2.327290
0.636364,0.191557,0.670201,0.183076,2.389323
0.646465,0.190882,0.660985,0.184798,2.420315
0.656566,0.192259,0.657190,0.187541,2.438648
0.666667,0.193710,0.651153,0.189646,2.447542
0.676768,0.193246,0.633085,0.188848,2.443115
0.686869,0.191984,0.610783,0.186867,2.433360
0.696970,0.193967,0.609074,0.189312,2.440004
0.707071,0.200119,0.632209,0.197495,2.467222
0.717172,0.203979,0.641058,0.202570,2.482738
0.727273,0.198298,0.595286,0.194551,2.452765
0.737374,0.188536,0.524746,0.180971,2.399687
0.747475,0.190239,0.526051,0.183168,2.407080
0.757576,0.208664,0.625399,0.208451,2.497449
0.767677,0.226415,0.708969,0.233115,2.573980
0.777778,0.212294,0.623677,0.213781,2.517509
0.787879,0.168634,0.345891,0.154496,2.290411
0.797980,0.137126,0.102306,0.114172,2.081527
0.808081,0.127280,0.019426,0.102576,2.014774
0.818182,0.125370,0.003160,0.100416,2.002376
0.828283,0.125057,0.000489,0.100064,2.000367
0.838384,0.125009,0.000073,0.100010,2.000055
0.848485,0.125001,0.000011,0.100001,2.000008
0.858586,0.125000,0.000002,0.100000,2.000001
0.868687,0.125000,0.000000,0.100000,2.000000
0.878788,0.125000,0.000000,0.100000,2.000000
0.888889,0.125000,0.000000,0.100000,2.000000
0.898990,0.125000,0.000000,0.100000,2.000000
0.909091,0.125000,0.000000,0.100000,2.000000
0.919192,0.125000,0.000000,0.100000,2.000000
0.929293,0.125000,0.000000,0.100000,2.000000
0.939394,0.125000,0.000000,0.100000,2.000000
0.949495,0.125000,0.000000,0.100000,2.000000
0.959596,0.125000,0.000000,0.100000,2.000000
0.969697,0.125000,0.000000,0.100000,2.000000
0.979798,0.125000,0.000000,0.100000,2.000000
0.989899,0.125000,0.000000,0.100000,2.000000
1.000000,0.125000,0.000000,0.100000,2.000000
