x,q1,q2,q3
0.000000,0.988653,0.754738,2.748691
0.010101,0.988653,0.754738,2.748691
0.020202,0.986376,0.755654,2.742206
0.030303,0.986376,0.755654,2.742206
0.040404,0.982136,0.757324,2.730179
0.050505,0.982136,0.757324,2.730179
0.060606,0.976030,0.759657,2.712955
0.070707,0.976030,0.759657,2.712955
0.080808,0.968035,0.762593,2.690563
0.090909,0.968035,0.762593,2.690563
0.101010,0.958080,0.766065,2.662921
0.111111,0.958080,0.766065,2.662921
0.121212,0.946098,0.769981,2.629980
0.131313,0.946098,0.769981,2.629980
0.141414,0.932051,0.774209,2.591810
0.151515,0.932051,0.774209,2.591810
0.161616,0.915955,0.778578,2.548637
0.171717,0.915955,0.778578,2.548637
0.181818,0.897881,0.782878,2.500856
0.191919,0.897881,0.782878,2.500856
0.202020,0.877959,0.786874,2.449015
0.212121,0.877959,0.786874,2.449015
0.222222,0.856371,0.790316,2.393787
0.232323,0.856371,0.790316,2.393787
0.242424,0.833343,0.792951,2.335935
0.252525,0.833343,0.792951,2.335935
0.262626,0.809133,0.794540,2.276273
0.272727,0.809133,0.794540,2.276273
0.282828,0.784023,0.794867,2.215637
0.292929,0.784023,0.794867,2.215637
0.303030,0.758305,0.793746,2.154851
0.313131,0.758305,0.793746,2.154851
0.323232,0.732272,0.791026,2.094703
0.333333,0.732272,0.791026,2.094703
0.343434,0.706201,0.786586,2.035926
0.353535,0.706201,0.786586,2.035926
0.363636,0.680345,0.780338,1.979171
0.373737,0.680345,0.780338,1.979171
0.383838,0.654917,0.772209,1.924993
0.393939,0.654917,0.772209,1.924993
0.404040,0.630076,0.762136,1.873825
0.414141,0.630076,0.762136,1.873825
0.424242,0.605917,0.750054,1.825957
0.434343,0.605917,0.750054,1.825957
0.444444,0.582464,0.735888,1.781509
0.454545,0.582464,0.735888,1.781509
0.464646,0.559670,0.719559,1.740410
0.474747,0.559670,0.719559,1.740410
0.484848,0.537430,0.700993,1.702379
0.494949,0.537430,0.700993,1.702379
0.505051,0.515602,0.680146,1.666917
0.515152,0.515602,0.680146,1.666917
0.525253,0.494040,0.657025,1.633291
0.535354,0.494040,0.657025,1.633291
0.545455,0.472625,0.631701,1.600516
0.555556,0.472625,0.631701,1.600516
0.565657,0.451292,0.604290,1.567303
0.575758,0.451292,0.604290,1.567303
0.585859,0.430021,0.574892,1.531950
0.595960,0.430021,0.574892,1.531950
0.606061,0.408806,0.543471,1.492148
0.616162,0.408806,0.543471,1.492148
0.626263,0.387576,0.509686,1.444709
0.636364,0.387576,0.509686,1.444709
0.646465,0.366102,0.472711,1.385272
0.656566,0.366102,0.472711,1.385272
0.666667,0.343899,0.431127,1.308223
0.676768,0.343899,0.431127,1.308223
0.686869,0.320214,0.383081,1.207344
0.696970,0.320214,0.383081,1.207344
0.707071,0.294194,0.326991,1.077973
0.717172,0.294194,0.326991,1.077973
0.727273,0.265349,0.263006,0.921211
0.737374,0.265349,0.263006,0.921211
0.747475,0.234295,0.194813,0.748698
0.757576,0.234295,0.194813,0.748698
0.767677,0.203298,0.130038,0.582902
0.777778,0.203298,0.130038,0.582902
0.787879,0.175798,0.077290,0.447888
0.797980,0.175798,0.077290,0.447888
0.808081,0.154695,0.041127,0.355622
0.818182,0.154695,0.041127,0.355622
0.828283,0.140760,0.020025,0.301762
0.838384,0.140760,0.020025,0.301762
0.848485,0.132721,0.009166,0.273876
0.858586,0.132721,0.009166,0.273876
0.868687,0.128554,0.004026,0.260556
0.878788,0.128554,0.004026,0.260556
0.888889,0.126560,0.001716,0.254518
0.898990,0.126560,0.001716,0.254518
0.909091,0.125659,0.000712,0.251880
0.919192,0.125659,0.000712,0.251880
0.929293,0.125269,0.000288,0.250761
0.939394,0.125269,0.000288,0.250761
0.949495,0.125107,0.000113,0.250300
0.959596,0.125107,0.000113,0.250300
0.969697,0.125041,0.000044,0.250116
0.979798,0.125041,0.000044,0.250116
0.989899,0.125017,0.000018,0.250049
1.000000,0.125017,0.000018,0.250049
