x,d,v,p,e
0.000000,1.000000,0.750000,1.000000,2.500000
0.010101,1.000000,0.750000,1.000000,2.500000
0.020202,1.000000,0.750000,1.000000,2.500000
0.030303,1.000000,0.750000,1.000000,2.500000
0.040404,1.000000,0.750000,1.000000,2.500000
0.050505,1.000000,0.750000,1.000000,2.500000
0.060606,0.999999,0.750001,0.999999,2.499999
0.070707,0.999997,0.750003,0.999996,2.499997
0.080808,0.999992,0.750009,0.999989,2.499992
0.090909,0.999978,0.750026,0.999969,2.499978
0.101010,0.999941,0.750070,0.999918,2.499941
0.111111,0.999851,0.750177,0.999791,2.499851
0.121212,0.999644,0.750421,0.999502,2.499644
0.131313,0.999202,0.750944,0.998884,2.499203
0.141414,0.998324,0.751984,0.997655,2.498324
0.151515,0.996700,0.753907,0.995386,2.496702
0.161616,0.993920,0.757206,0.991504,2.493923
0.171717,0.989503,0.762459,0.985349,2.489504
0.181818,0.982980,0.770247,0.976281,2.482964
0.191919,0.973980,0.781055,0.963816,2.473911
0.202020,0.962307,0.795188,0.947721,2.462108
0.212121,0.947956,0.812746,0.928046,2.447492
0.222222,0.931096,0.833645,0.905085,2.430161
0.232323,0.912012,0.857664,0.879297,2.410323
0.242424,0.891053,0.884513,0.851221,2.388246
0.252525,0.868574,0.913878,0.821398,2.364213
0.262626,0.844908,0.945467,0.790323,2.338489
0.272727,0.820330,0.979043,0.758408,2.311290
0.282828,0.795019,1.014487,0.725926,2.282733
0.292929,0.768924,1.052004,0.692855,2.252679
0.303030,0.741059,1.093220,0.658024,2.219875
0.313131,0.698075,1.159354,0.605278,2.167670
0.323232,0.669106,1.205732,0.570485,2.131517
0.333333,0.647072,1.242065,0.544437,2.103463
0.343434,0.628771,1.272980,0.523082,2.079779
0.353535,0.613607,1.299130,0.505584,2.059887
0.363636,0.601456,1.320440,0.491699,2.043787
0.373737,0.592256,1.336779,0.481277,2.031538
0.383838,0.585819,1.348294,0.474046,2.023008
0.393939,0.581743,1.355574,0.469524,2.017745
0.404040,0.579453,1.359585,0.467048,2.015037
0.414141,0.578320,1.361422,0.465917,2.014097
0.424242,0.577793,1.362037,0.465538,2.014293
0.434343,0.577470,1.362086,0.465508,2.015287
0.444444,0.577071,1.361934,0.465600,2.017082
0.454545,0.576372,1.361747,0.465714,2.020020
0.464646,0.575139,1.361583,0.465814,2.024788
0.474747,0.573074,1.361450,0.465895,2.032437
0.484848,0.569797,1.361346,0.465958,2.044402
0.494949,0.564863,1.361264,0.466008,2.062482
0.505051,0.557805,1.361198,0.466048,2.088760
0.515152,0.548213,1.361145,0.466081,2.125454
0.525253,0.535831,1.361101,0.466108,2.174696
0.535354,0.520639,1.361064,0.466131,2.238262
0.545455,0.502916,1.361034,0.466150,2.317233
0.555556,0.483246,1.361009,0.466166,2.411636
0.565657,0.462464,1.360988,0.466179,2.520085
0.575758,0.441547,1.360970,0.466191,2.639529
0.585859,0.421484,1.360954,0.466200,2.765231
0.595960,0.403133,1.360937,0.466206,2.891142
0.606061,0.387125,1.360916,0.466208,3.010710
0.616162,0.373801,1.360883,0.466202,3.117983
0.626263,0.363220,1.360819,0.466181,3.208671
0.636364,0.355195,1.360689,0.466127,3.280784
0.646465,0.349372,1.360410,0.466001,3.334564
0.656566,0.345296,1.359799,0.465719,3.371881
0.666667,0.342414,1.358448,0.465087,3.395649
0.676768,0.340107,1.355441,0.463681,3.408344
0.686869,0.337564,1.348746,0.460556,3.410881
0.696970,0.333483,1.333876,0.453682,3.401088
0.707071,0.325489,1.301139,0.438870,3.370845
0.717172,0.309299,1.230459,0.408346,3.300585
0.727273,0.278540,1.084255,0.351060,3.150891
0.737374,0.229065,0.811432,0.262411,2.863942
0.747475,0.173296,0.425049,0.169446,2.444459
0.757576,0.138932,0.127752,0.117921,2.121916
0.767677,0.127861,0.025289,0.103378,2.021306
0.777778,0.125508,0.004363,0.100578,2.003421
0.787879,0.125086,0.000732,0.100097,2.000559
0.797980,0.125014,0.000122,0.100016,2.000093
0.808081,0.125002,0.000020,0.100003,2.000015
0.818182,0.125000,0.000003,0.100000,2.000003
0.828283,0.125000,0.000001,0.100000,2.000000
0.838384,0.125000,0.000000,0.100000,2.000000
0.848485,0.125000,0.000000,0.100000,2.000000
0.858586,0.125000,0.000000,0.100000,2.000000
0.868687,0.125000,0.000000,0.100000,2.000000
0.878788,0.125000,0.000000,0.100000,2.000000
0.888889,0.125000,0.000000,0.100000,2.000000
0.898990,0.125000,0.000000,0.100000,2.000000
0.909091,0.125000,0.000000,0.100000,2.000000
0.919192,0.125000,0.000000,0.100000,2.000000
0.929293,0.125000,0.000000,0.100000,2.000000
0.939394,0.125000,0.000000,0.100000,2.000000
0.949495,0.125000,0.000000,0.100000,2.000000
0.959596,0.125000,0.000000,0.100000,2.000000
0.969697,0.125000,0.000000,0.100000,2.000000
0.979798,0.125000,0.000000,0.100000,2.000000
0.989899,0.125000,0.000000,0.100000,2.000000
1.000000,0.125000,0.000000,0.100000,2.000000
