x,d,v,p,e
0.000000,1.000000,0.750000,1.000000,2.500000
0.010101,1.000000,0.750000,1.000000,2.500000
0.020202,1.000000,0.750000,1.000000,2.500000
0.030303,1.000000,0.750000,1.000000,2.500000
0.040404,1.000000,0.750000,1.000000,2.500000
0.050505,1.000000,0.750000,1.000000,2.500000
0.060606,0.999999,0.750001,0.999999,2.499999
0.070707,0.999998,0.750003,0.999997,2.499998
0.080808,0.999993,0.750009,0.999990,2.499993
0.090909,0.999979,0.750025,0.999971,2.499979
0.101010,0.999944,0.750067,0.999921,2.499944
0.111111,0.999857,0.750169,0.999800,2.499857
0.121212,0.999658,0.750405,0.999521,2.499658
0.131313,0.999232,0.750909,0.998925,2.499232
0.141414,0.998383,0.751914,0.997738,2.498384
0.151515,0.996810,0.753778,0.995539,2.496811
0.161616,0.994107,0.756986,0.991764,2.494107
0.171717,0.989796,0.762116,0.985755,2.489791
0.181818,0.983401,0.769755,0.976863,2.483377
0.191919,0.974538,0.780405,0.964581,2.474457
0.202020,0.962985,0.794396,0.948645,2.462772
0.212121,0.948716,0.811856,0.929074,2.448239
0.222222,0.931881,0.832721,0.906137,2.430936
0.232323,0.912754,0.856787,0.880282,2.411059
0.242424,0.891682,0.883771,0.852045,2.388870
0.252525,0.869025,0.913359,0.821977,2.364654
0.262626,0.845125,0.945249,0.790592,2.338683
0.272727,0.820274,0.979192,0.758321,2.311183
0.282828,0.794674,1.015040,0.725472,2.282295
0.292929,0.768320,1.052940,0.692080,2.251927
0.303030,0.740310,1.094399,0.657077,2.218927
0.313131,0.696484,1.161895,0.603335,2.165645
0.323232,0.668101,1.207406,0.569270,2.130178
0.333333,0.646325,1.243355,0.543539,2.102422
0.343434,0.628192,1.274019,0.522386,2.078927
0.353535,0.613132,1.300011,0.505011,2.059144
0.363636,0.601042,1.321238,0.491193,2.043091
0.373737,0.591874,1.337542,0.480802,2.030844
0.383838,0.585459,1.349043,0.473587,2.022289
0.393939,0.581411,1.356302,0.469081,2.016993
0.404040,0.579167,1.360268,0.466634,2.014248
0.414141,0.578098,1.362039,0.465546,2.013263
0.424242,0.577653,1.362573,0.465217,2.013391
0.434343,0.577423,1.362540,0.465236,2.014280
0.444444,0.577122,1.362314,0.465374,2.015925
0.454545,0.576526,1.362064,0.465526,2.018671
0.464646,0.575393,1.361847,0.465658,2.023220
0.474747,0.573418,1.361673,0.465764,2.030650
0.484848,0.570211,1.361534,0.465848,2.042436
0.494949,0.565315,1.361423,0.465915,2.060421
0.505051,0.558251,1.361334,0.465968,2.086733
0.515152,0.548602,1.361260,0.466012,2.123632
0.525253,0.536111,1.361198,0.466048,2.173281
0.535354,0.520764,1.361147,0.466077,2.237467
0.545455,0.502857,1.361103,0.466101,2.317265
0.555556,0.482993,1.361066,0.466121,2.412669
0.565657,0.462030,1.361033,0.466138,2.522227
0.575758,0.440965,1.361005,0.466151,2.642789
0.585859,0.420800,1.360979,0.466162,2.769498
0.595960,0.402400,1.360953,0.466169,2.896179
0.606061,0.386392,1.360923,0.466171,3.016181
0.616162,0.373111,1.360882,0.466166,3.123504
0.626263,0.362603,1.360812,0.466145,3.213880
0.636364,0.354669,1.360676,0.466091,3.285400
0.646465,0.348937,1.360392,0.465966,3.338472
0.656566,0.344932,1.359775,0.465684,3.375182
0.666667,0.342115,1.358409,0.465048,3.398333
0.676768,0.339864,1.355365,0.463626,3.410374
0.686869,0.337357,1.348568,0.460457,3.412237
0.696970,0.333269,1.333451,0.453474,3.401712
0.707071,0.325192,1.300167,0.438425,3.370510
0.717172,0.308849,1.228503,0.407521,3.298703
0.727273,0.278199,1.081765,0.350140,3.146490
0.737374,0.230279,0.814348,0.263210,2.857511
0.747475,0.176784,0.442188,0.172742,2.442841
0.757576,0.141210,0.142303,0.120025,2.124942
0.767677,0.128412,0.029243,0.103908,2.022941
0.777778,0.125599,0.005087,0.100674,2.003870
0.787879,0.125101,0.000855,0.100113,2.000647
0.797980,0.125017,0.000143,0.100019,2.000108
0.808081,0.125003,0.000024,0.100003,2.000018
0.818182,0.125000,0.000004,0.100001,2.000003
0.828283,0.125000,0.000001,0.100000,2.000000
0.838384,0.125000,0.000000,0.100000,2.000000
0.848485,0.125000,0.000000,0.100000,2.000000
0.858586,0.125000,0.000000,0.100000,2.000000
0.868687,0.125000,0.000000,0.100000,2.000000
0.878788,0.125000,0.000000,0.100000,2.000000
0.888889,0.125000,0.000000,0.100000,2.000000
0.898990,0.125000,0.000000,0.100000,2.000000
0.909091,0.125000,0.000000,0.100000,2.000000
0.919192,0.125000,0.000000,0.100000,2.000000
0.929293,0.125000,0.000000,0.100000,2.000000
0.939394,0.125000,0.000000,0.100000,2.000000
0.949495,0.125000,0.000000,0.100000,2.000000
0.959596,0.125000,0.000000,0.100000,2.000000
0.969697,0.125000,0.000000,0.100000,2.000000
0.979798,0.125000,0.000000,0.100000,2.000000
0.989899,0.125000,0.000000,0.100000,2.000000
1.000000,0.125000,0.000000,0.100000,2.000000
