x,d,v,p,e
0.000000,0.988376,0.763727,0.983861,2.488581
0.010101,0.988376,0.763727,0.983861,2.488581
0.020202,0.988376,0.763727,0.983861,2.488581
0.030303,0.986121,0.766391,0.980752,2.486387
0.040404,0.986121,0.766391,0.980752,2.486387
0.050505,0.981922,0.771351,0.974984,2.482335
0.060606,0.981922,0.771351,0.974984,2.482335
0.070707,0.975872,0.778500,0.966716,2.476544
0.080808,0.975872,0.778500,0.966716,2.476544
0.090909,0.967945,0.787881,0.955953,2.469026
0.101010,0.967945,0.787881,0.955953,2.469026
0.111111,0.958065,0.799602,0.942640,2.459751
0.121212,0.958065,0.799602,0.942640,2.459751
0.131313,0.946155,0.813780,0.926739,2.448698
0.141414,0.946155,0.813780,0.926739,2.448698
0.151515,0.932170,0.830504,0.908264,2.435888
0.161616,0.932170,0.830504,0.908264,2.435888
0.171717,0.916116,0.849813,0.887312,2.421397
0.181818,0.916116,0.849813,0.887312,2.421397
0.191919,0.898057,0.871684,0.864064,2.405369
0.202020,0.898057,0.871684,0.864064,2.405369
0.212121,0.878116,0.896029,0.838784,2.388022
0.222222,0.878116,0.896029,0.838784,2.388022
0.232323,0.856472,0.922690,0.811812,2.369640
0.242424,0.856472,0.922690,0.811812,2.369640
0.252525,0.833350,0.951446,0.783543,2.350581
0.262626,0.833350,0.951446,0.783543,2.350581
0.272727,0.809011,0.982010,0.754411,2.331275
0.282828,0.809011,0.982010,0.754411,2.331275
0.292929,0.783743,1.014037,0.724877,2.312228
0.303030,0.783743,1.014037,0.724877,2.312228
0.313131,0.757845,1.047123,0.695406,2.294026
0.323232,0.757845,1.047123,0.695406,2.294026
0.333333,0.731616,1.080808,0.666459,2.277354
0.343434,0.731616,1.080808,0.666459,2.277354
0.353535,0.705344,1.114578,0.638478,2.263002
0.363636,0.705344,1.114578,0.638478,2.263002
0.373737,0.679289,1.147875,0.611872,2.251886
0.383838,0.679289,1.147875,0.611872,2.251886
0.393939,0.653669,1.180103,0.587010,2.245059
0.404040,0.653669,1.180103,0.587010,2.245059
0.414141,0.628648,1.210650,0.564203,2.243716
0.424242,0.628648,1.210650,0.564203,2.243716
0.434343,0.604326,1.238909,0.543695,2.249179
0.444444,0.604326,1.238909,0.543695,2.249179
0.454545,0.580726,1.264314,0.525641,2.262859
0.464646,0.580726,1.264314,0.525641,2.262859
0.474747,0.557804,1.286376,0.510095,2.286175
0.484848,0.557804,1.286376,0.510095,2.286175
0.494949,0.535453,1.304707,0.496992,2.320427
0.505051,0.535453,1.304707,0.496992,2.320427
0.515152,0.513532,1.319038,0.486136,2.366630
0.525253,0.513532,1.319038,0.486136,2.366630
0.535354,0.491894,1.329200,0.477194,2.425289
0.545455,0.491894,1.329200,0.477194,2.425289
0.555556,0.470416,1.335068,0.469690,2.496145
0.565657,0.470416,1.335068,0.469690,2.496145
0.575758,0.449021,1.336454,0.463013,2.577903
0.585859,0.449021,1.336454,0.463013,2.577903
0.595960,0.427675,1.332959,0.456407,2.667956
0.606061,0.427675,1.332959,0.456407,2.667956
0.616162,0.406357,1.323766,0.448966,2.762141
0.626263,0.406357,1.323766,0.448966,2.762141
0.636364,0.384997,1.307398,0.439601,2.854573
0.646465,0.384997,1.307398,0.439601,2.854573
0.656566,0.363407,1.281442,0.427016,2.937594
0.666667,0.363407,1.281442,0.427016,2.937594
0.676768,0.341219,1.242289,0.409721,3.001893
0.686869,0.341219,1.242289,0.409721,3.001893
0.696970,0.317900,1.185020,0.386168,3.036868
0.707071,0.317900,1.185020,0.386168,3.036868
0.717172,0.292885,1.103714,0.355142,3.031414
0.727273,0.292885,1.103714,0.355142,3.031414
0.737374,0.265901,0.992701,0.316488,2.975621
0.747475,0.265901,0.992701,0.316488,2.975621
0.757576,0.237424,0.849367,0.272022,2.864298
0.767677,0.237424,0.849367,0.272022,2.864298
0.777778,0.209011,0.678581,0.225973,2.702886
0.787879,0.209011,0.678581,0.225973,2.702886
0.797980,0.183068,0.496448,0.184043,2.513310
0.808081,0.183068,0.496448,0.184043,2.513310
0.818182,0.161903,0.327935,0.150980,2.331332
0.828283,0.161903,0.327935,0.150980,2.331332
0.838384,0.146620,0.195351,0.128396,2.189274
0.848485,0.146620,0.195351,0.128396,2.189274
0.858586,0.136795,0.106398,0.114788,2.097813
0.868687,0.136795,0.106398,0.114788,2.097813
0.878788,0.131075,0.054159,0.107336,2.047239
0.888889,0.131075,0.054159,0.107336,2.047239
0.898990,0.127992,0.026301,0.103516,2.021935
0.909091,0.127992,0.026301,0.103516,2.021935
0.919192,0.126423,0.012360,0.101643,2.009964
0.929293,0.126423,0.012360,0.101643,2.009964
0.939394,0.125659,0.005667,0.100751,2.004461
0.949495,0.125659,0.005667,0.100751,2.004461
0.959596,0.125298,0.002547,0.100337,2.001974
0.969697,0.125298,0.002547,0.100337,2.001974
0.979798,0.125133,0.001136,0.100150,2.000872
0.989899,0.125133,0.001136,0.100150,2.000872
1.000000,0.125066,0.000562,0.100074,2.000429
