x,q1,q2,q3
0.000000,0.985033,0.750705,2.761471
0.001001,0.985033,0.750705,2.761471
0.002002,0.985017,0.750705,2.761451
0.003003,0.985017,0.750705,2.761451
0.004004,0.984986,0.750707,2.761410
0.005005,0.984986,0.750707,2.761410
0.006006,0.984939,0.750709,2.761348
0.007007,0.984939,0.750709,2.761348
0.008008,0.984877,0.750711,2.761266
0.009009,0.984877,0.750711,2.761266
0.010010,0.984800,0.750715,2.761163
0.011011,0.984800,0.750715,2.761163
0.012012,0.984707,0.750719,2.761040
0.013013,0.984707,0.750719,2.761040
0.014014,0.984599,0.750723,2.760896
0.015015,0.984599,0.750723,2.760896
0.016016,0.984475,0.750728,2.760731
0.017017,0.984475,0.750728,2.760731
0.018018,0.984336,0.750734,2.760546
0.019019,0.984336,0.750734,2.760546
0.020020,0.984181,0.750741,2.760341
0.021021,0.984181,0.750741,2.760341
0.022022,0.984011,0.750747,2.760114
0.023023,0.984011,0.750747,2.760114
0.024024,0.983825,0.750755,2.759867
0.025025,0.983825,0.750755,2.759867
0.026026,0.983624,0.750763,2.759600
0.027027,0.983624,0.750763,2.759600
0.028028,0.983407,0.750772,2.759311
0.029029,0.983407,0.750772,2.759311
0.030030,0.983174,0.750781,2.759002
0.031031,0.983174,0.750781,2.759002
0.032032,0.982926,0.750791,2.758672
0.033033,0.982926,0.750791,2.758672
0.034034,0.982662,0.750801,2.758321
0.035035,0.982662,0.750801,2.758321
0.036036,0.982382,0.750811,2.757949
0.037037,0.982382,0.750811,2.757949
0.038038,0.982087,0.750823,2.757556
0.039039,0.982087,0.750823,2.757556
0.040040,0.981776,0.750834,2.757141
0.041041,0.981776,0.750834,2.757141
0.042042,0.981449,0.750846,2.756706
0.043043,0.981449,0.750846,2.756706
0.044044,0.981105,0.750859,2.756248
0.045045,0.981105,0.750859,2.756248
0.046046,0.980746,0.750872,2.755770
0.047047,0.980746,0.750872,2.755770
0.048048,0.980371,0.750885,2.755270
0.049049,0.980371,0.750885,2.755270
0.050050,0.979980,0.750899,2.754748
0.051051,0.979980,0.750899,2.754748
0.052052,0.979572,0.750913,2.754204
0.053053,0.979572,0.750913,2.754204
0.054054,0.979148,0.750927,2.753638
0.055055,0.979148,0.750927,2.753638
0.056056,0.978708,0.750942,2.753051
0.057057,0.978708,0.750942,2.753051
0.058058,0.978251,0.750957,2.752441
0.059059,0.978251,0.750957,2.752441
0.060060,0.977778,0.750972,2.751808
0.061061,0.977778,0.750972,2.751808
0.062062,0.977288,0.750987,2.751153
0.063063,0.977288,0.750987,2.751153
0.064064,0.976781,0.751003,2.750476
0.065065,0.976781,0.751003,2.750476
0.066066,0.976257,0.751019,2.749776
0.067067,0.976257,0.751019,2.749776
0.068068,0.975717,0.751035,2.749052
0.069069,0.975717,0.751035,2.749052
0.070070,0.975159,0.751051,2.748306
0.071071,0.975159,0.751051,2.748306
0.072072,0.974584,0.751067,2.747536
0.073073,0.974584,0.751067,2.747536
0.074074,0.973992,0.751084,2.746743
0.075075,0.973992,0.751084,2.746743
0.076076,0.973383,0.751100,2.745927
0.077077,0.973383,0.751100,2.745927
0.078078,0.972756,0.751117,2.745086
0.079079,0.972756,0.751117,2.745086
0.080080,0.972112,0.751133,2.744222
0.081081,0.972112,0.751133,2.744222
