x,d,v,p,e
0.000000,1.000000,0.750000,1.000000,2.500000
0.010101,1.000000,0.750000,1.000000,2.500000
0.020202,1.000000,0.750000,1.000000,2.500000
0.030303,1.000000,0.750000,1.000000,2.500000
0.040404,1.000000,0.750000,1.000000,2.500000
0.050505,1.000000,0.750000,1.000000,2.500000
0.060606,1.000000,0.750000,1.000000,2.500000
0.070707,1.000001,0.750000,1.000000,2.499998
0.080808,0.999998,0.750000,1.000000,2.500005
0.090909,1.000006,0.750000,1.000000,2.499986
0.101010,0.999985,0.750000,1.000000,2.500037
0.111111,1.000037,0.750001,0.999998,2.499904
0.121212,0.999907,0.750005,0.999993,2.500216
0.131313,1.000171,0.750020,0.999977,2.499514
0.141414,0.999580,0.750067,0.999919,2.500847
0.151515,1.000439,0.750217,0.999746,2.498269
0.161616,0.998542,0.750630,0.999250,2.501772
0.171717,0.999707,0.751701,0.997995,2.495718
0.181818,0.995406,0.754162,0.995079,2.499180
0.191919,0.992845,0.759228,0.989139,2.490668
0.202020,0.984527,0.768488,0.978330,2.484265
0.212121,0.971727,0.783416,0.961144,2.472773
0.222222,0.954414,0.804923,0.936796,2.453854
0.232323,0.932594,0.832824,0.906080,2.428925
0.242424,0.905245,0.866189,0.870379,2.403711
0.252525,0.876736,0.903519,0.831987,2.372397
0.262626,0.846425,0.943970,0.791882,2.338902
0.272727,0.816503,0.986201,0.752009,2.302530
0.282828,0.783974,1.030949,0.711314,2.268295
0.292929,0.753812,1.075802,0.672932,2.231764
0.303030,0.705473,1.148604,0.613778,2.175058
0.313131,0.676975,1.194161,0.579171,2.138819
0.323232,0.651505,1.236418,0.548575,2.105028
0.333333,0.628746,1.275171,0.521733,2.074500
0.343434,0.609422,1.308570,0.499497,2.049061
0.353535,0.594789,1.334114,0.483037,2.030288
0.363636,0.585575,1.350448,0.472759,2.018354
0.373737,0.581013,1.358692,0.467646,2.012201
0.383838,0.579197,1.361711,0.465787,2.010486
0.393939,0.578539,1.362265,0.465450,2.011315
0.404040,0.578675,1.362013,0.465611,2.011537
0.414141,0.579841,1.361650,0.465843,2.008493
0.424242,0.581555,1.361370,0.466026,2.003360
0.434343,0.582262,1.361192,0.466148,2.001453
0.444444,0.580590,1.361089,0.466224,2.007544
0.454545,0.577038,1.361034,0.466268,2.020093
0.464646,0.574284,1.361006,0.466292,2.029884
0.474747,0.575485,1.360989,0.466302,2.025692
0.484848,0.581766,1.360974,0.466302,2.003822
0.494949,0.590796,1.360956,0.466295,1.973164
0.505051,0.597484,1.360932,0.466283,1.951028
0.515152,0.596285,1.360904,0.466268,1.954888
0.525253,0.583673,1.360876,0.466254,1.997068
0.535354,0.559458,1.360852,0.466244,2.083465
0.545455,0.526532,1.360837,0.466241,2.213734
0.555556,0.489512,1.360835,0.466246,2.381177
0.565657,0.453096,1.360850,0.466259,2.572626
0.575758,0.420856,1.360883,0.466281,2.769832
0.585859,0.394727,1.360933,0.466310,2.953372
0.595960,0.375119,1.360994,0.466343,3.107966
0.606061,0.361388,1.361056,0.466376,3.226284
0.616162,0.352364,1.361128,0.466411,3.309162
0.626263,0.346790,1.361263,0.466477,3.362821
0.636364,0.343562,1.361511,0.466596,3.395282
0.646465,0.341765,1.361645,0.466660,3.413600
0.656566,0.340610,1.360875,0.466297,3.422511
0.666667,0.339552,1.358526,0.465191,3.425041
0.676768,0.338927,1.356904,0.464430,3.425736
0.686869,0.340584,1.364097,0.467815,3.433918
0.696970,0.345983,1.386076,0.478301,3.456100
0.707071,0.348848,1.397826,0.483994,3.468512
0.717172,0.327958,1.315042,0.444992,3.392138
0.727273,0.264406,1.019418,0.327804,3.099442
0.737374,0.184969,0.513340,0.188157,2.543077
0.747475,0.139409,0.127341,0.117941,2.115018
0.757576,0.127177,0.018569,0.102480,2.014527
0.767677,0.125277,0.002351,0.100311,2.001784
0.777778,0.125034,0.000291,0.100039,2.000220
0.787879,0.125004,0.000036,0.100005,2.000027
0.797980,0.125001,0.000004,0.100001,2.000003
0.808081,0.125000,0.000001,0.100000,2.000000
0.818182,0.125000,0.000000,0.100000,2.000000
0.828283,0.125000,0.000000,0.100000,2.000000
0.838384,0.125000,0.000000,0.100000,2.000000
0.848485,0.125000,0.000000,0.100000,2.000000
0.858586,0.125000,0.000000,0.100000,2.000000
0.868687,0.125000,0.000000,0.100000,2.000000
0.878788,0.125000,0.000000,0.100000,2.000000
0.888889,0.125000,0.000000,0.100000,2.000000
0.898990,0.125000,0.000000,0.100000,2.000000
0.909091,0.125000,0.000000,0.100000,2.000000
0.919192,0.125000,0.000000,0.100000,2.000000
0.929293,0.125000,0.000000,0.100000,2.000000
0.939394,0.125000,0.000000,0.100000,2.000000
0.949495,0.125000,0.000000,0.100000,2.000000
0.959596,0.125000,0.000000,0.100000,2.000000
0.969697,0.125000,0.000000,0.100000,2.000000
0.979798,0.125000,0.000000,0.100000,2.000000
0.989899,0.125000,0.000000,0.100000,2.000000
1.000000,0.125000,0.000000,0.100000,2.000000
