x,q1,q2,q3
0.000000,1.000000,0.750000,2.781250
0.010101,1.000000,0.750000,2.781250
0.020202,1.000000,0.750000,2.781250
0.030303,1.000000,0.750000,2.781250
0.040404,1.000000,0.750000,2.781250
0.050505,1.000000,0.750000,2.781250
0.060606,1.000000,0.750000,2.781250
0.070707,1.000000,0.750000,2.781250
0.080808,0.999999,0.749999,2.781250
0.090909,1.000003,0.750002,2.781251
0.101010,0.999991,0.749993,2.781247
0.111111,1.000026,0.750020,2.781257
0.121212,0.999930,0.749949,2.781225
0.131313,1.000156,0.750126,2.781274
0.141414,0.999620,0.749750,2.781062
0.151515,1.000549,0.750540,2.781127
0.161616,0.998597,0.749361,2.779932
0.171717,1.000329,0.751477,2.778645
0.181818,0.995948,0.750223,2.772881
0.191919,0.993994,0.753257,2.762410
0.202020,0.986507,0.756279,2.741147
0.212121,0.972850,0.760260,2.705478
0.222222,0.955546,0.767733,2.654529
0.232323,0.933577,0.777048,2.589931
0.242424,0.904746,0.784249,2.514223
0.252525,0.874916,0.791861,2.434401
0.262626,0.844855,0.799242,2.352853
0.272727,0.815594,0.806091,2.273415
0.282828,0.783260,0.808895,2.192035
0.292929,0.752850,0.810756,2.116495
0.303030,0.705064,0.809541,2.000049
0.313131,0.676985,0.807788,1.931685
0.323232,0.652623,0.805918,1.871797
0.333333,0.631084,0.803300,1.819479
0.343434,0.611957,0.798753,1.775463
0.353535,0.596475,0.793081,1.741956
0.363636,0.587562,0.790338,1.721750
0.373737,0.585599,0.792406,1.713800
0.383838,0.585107,0.793677,1.710825
0.393939,0.580329,0.787805,1.705605
0.404040,0.573935,0.779278,1.699440
0.414141,0.574950,0.780740,1.700140
0.424242,0.586309,0.796351,1.710422
0.434343,0.598112,0.812734,1.721333
0.444444,0.596347,0.810758,1.719755
0.454545,0.577861,0.785917,1.702203
0.464646,0.555339,0.755356,1.680187
0.474747,0.547349,0.744547,1.671821
0.484848,0.563250,0.766559,1.687082
0.494949,0.595973,0.811691,1.718968
0.505051,0.627310,0.854653,1.748540
0.515152,0.639875,0.871538,1.758818
0.525253,0.626119,0.852383,1.744048
0.535354,0.589492,0.802261,1.708820
0.545455,0.539853,0.734538,1.662011
0.555556,0.487904,0.663447,1.612120
0.565657,0.441874,0.600378,1.567513
0.575758,0.406716,0.553499,1.539269
0.585859,0.383827,0.526215,1.536127
0.595960,0.369820,0.511707,1.545077
0.606061,0.356928,0.491745,1.522330
0.616162,0.339794,0.454394,1.439439
0.626263,0.324759,0.419275,1.354233
0.636364,0.326316,0.426784,1.381724
0.646465,0.347966,0.488291,1.556763
0.656566,0.367266,0.543796,1.714733
0.666667,0.350648,0.497587,1.586924
0.676768,0.305831,0.375128,1.246354
0.686869,0.291191,0.336389,1.139460
0.696970,0.336707,0.457860,1.474824
0.707071,0.395335,0.623228,1.937730
0.717172,0.364513,0.538526,1.706473
0.727273,0.234342,0.204180,0.789206
0.737374,0.145252,0.026685,0.319121
0.747475,0.126657,0.001788,0.254721
0.757576,0.125102,0.000108,0.250287
0.767677,0.125006,0.000006,0.250017
0.777778,0.125000,0.000000,0.250001
0.787879,0.125000,0.000000,0.250000
0.797980,0.125000,0.000000,0.250000
0.808081,0.125000,0.000000,0.250000
0.818182,0.125000,0.000000,0.250000
0.828283,0.125000,0.000000,0.250000
0.838384,0.125000,0.000000,0.250000
0.848485,0.125000,0.000000,0.250000
0.858586,0.125000,0.000000,0.250000
0.868687,0.125000,0.000000,0.250000
0.878788,0.125000,0.000000,0.250000
0.888889,0.125000,0.000000,0.250000
0.898990,0.125000,0.000000,0.250000
0.909091,0.125000,0.000000,0.250000
0.919192,0.125000,0.000000,0.250000
0.929293,0.125000,0.000000,0.250000
0.939394,0.125000,0.000000,0.250000
0.949495,0.125000,0.000000,0.250000
0.959596,0.125000,0.000000,0.250000
0.969697,0.125000,0.000000,0.250000
0.979798,0.125000,0.000000,0.250000
0.989899,0.125000,0.000000,0.250000
1.000000,0.125000,0.000000,0.250000
