x,d,v,p,e
0.000000,0.993024,-19.335901,990.253095,2493.024588
0.010101,0.990898,-19.255951,987.289847,2490.896464
0.020202,0.988308,-19.158377,983.683324,2488.302348
0.030303,0.985204,-19.041254,979.368861,2485.192172
0.040404,0.981546,-18.902865,974.291552,2481.522075
0.050505,0.977300,-18.741768,968.409181,2477.256045
0.060606,0.972443,-18.556850,961.694105,2472.367149
0.070707,0.966961,-18.347354,954.134203,2466.838220
0.080808,0.960852,-18.112881,945.732909,2460.661969
0.090909,0.954125,-17.853386,936.508402,2453.840585
0.101010,0.946797,-17.569142,926.492117,2446.384918
0.111111,0.938894,-17.260708,915.726800,2438.313370
0.121212,0.930447,-16.928882,904.264288,2429.650629
0.131313,0.921494,-16.574652,892.163234,2420.426347
0.141414,0.912076,-16.199154,879.486914,2410.673869
0.151515,0.902236,-15.803628,866.301238,2400.429065
0.161616,0.892018,-15.389379,852.673029,2389.729321
0.171717,0.881468,-14.957750,838.668611,2378.612696
0.181818,0.870629,-14.510093,824.352699,2367.117262
0.191919,0.859545,-14.047758,809.787588,2355.280609
0.202020,0.848256,-13.572070,795.032594,2343.139507
0.212121,0.836802,-13.084331,780.143726,2330.729701
0.222222,0.825221,-12.585812,765.173545,2318.085825
0.232323,0.813549,-12.077753,750.171173,2305.241420
0.242424,0.801820,-11.561370,735.182421,2292.229028
0.252525,0.790066,-11.037861,720.250017,2279.080362
0.262626,0.778319,-10.508414,705.413900,2265.826542
0.272727,0.766606,-9.974217,690.711567,2252.498376
0.282828,0.754958,-9.436477,676.178471,2239.126704
0.292929,0.743402,-8.896433,661.848442,2225.742782
0.303030,0.731966,-8.355374,647.754138,2212.378721
0.313131,0.720677,-7.814660,633.927520,2199.067970
0.323232,0.709566,-7.275743,620.400335,2185.845849
0.333333,0.698659,-6.740197,607.204605,2172.750119
0.343434,0.687989,-6.209735,594.373123,2159.821587
0.353535,0.677587,-5.686242,581.939900,2147.104710
0.363636,0.667488,-5.171797,569.940577,2134.648168
0.373737,0.657728,-4.668693,558.412714,2122.505348
0.383838,0.648348,-4.179451,547.395915,2110.734621
0.393939,0.639387,-3.706814,536.931681,2099.399309
0.404040,0.630891,-3.253725,527.062886,2088.567143
0.414141,0.622902,-2.823274,517.832739,2078.309027
0.424242,0.615464,-2.418599,509.283114,2068.696871
0.434343,0.608617,-2.042750,501.452154,2059.800350
0.444444,0.602397,-1.698497,494.371195,2051.682546
0.454545,0.596828,-1.388107,488.061170,2044.394671
0.464646,0.591923,-1.113105,482.528953,2037.970435
0.474747,0.587679,-0.874061,477.764281,2032.420953
0.484848,0.584074,-0.670457,473.738097,2027.731347
0.494949,0.581072,-0.500673,470.403032,2023.860131
0.505051,0.578620,-0.362127,467.696442,2020.741912
0.515152,0.576658,-0.251554,465.545685,2018.293008
0.525253,0.575122,-0.165360,463.874655,2016.418419
0.535354,0.573953,-0.099974,462.610004,2015.017744
0.545455,0.573099,-0.052109,461.685509,2013.987354
0.555556,0.572521,-0.018865,461.043590,2013.216650
0.565657,0.572194,0.002322,460.633965,2012.577153
0.575758,0.572108,0.013823,460.410495,2011.904157
0.585859,0.572271,0.017986,460.327882,2010.971162
0.595960,0.572717,0.017210,460.339986,2009.457134
0.606061,0.573521,0.013890,460.400851,2006.906111
0.616162,0.574816,0.010215,460.468463,2002.677894
0.626263,0.576823,0.007887,460.510118,1995.889518
0.636364,0.579882,0.007852,460.507500,1985.349866
0.646465,0.584489,0.010154,460.459533,1969.496289
0.656566,0.591340,0.013973,460.381678,1946.350792
0.666667,0.601379,0.017873,460.301354,1913.525582
0.676768,0.615861,0.020218,460.250290,1868.319199
0.686869,0.636433,0.019672,460.255412,1807.947935
0.696970,0.665237,0.015662,460.330167,1729.947024
0.707071,0.705059,0.008687,460.468110,1632.728757
0.717172,0.759523,0.000367,460.640099,1516.214387
0.727273,0.833344,-0.006812,460.796052,1382.369867
0.737374,0.932625,-0.010104,460.872369,1235.417132
0.747475,1.065170,-0.007414,460.807267,1081.534925
0.757576,1.240714,0.001527,460.568474,928.031125
0.767677,1.470935,0.013869,460.198763,782.153593
0.777778,1.768940,0.022741,459.876928,649.932826
0.787879,2.147730,0.018109,459.954390,535.395997
0.797980,2.616367,-0.007761,460.828812,440.332809
0.808081,3.172061,-0.047170,462.390509,364.424324
0.818182,3.787035,-0.058524,463.113153,305.722750
0.828283,4.400830,0.067650,462.231883,262.582236
0.838384,5.061776,0.810563,487.317099,240.684826
0.848485,3.670760,-3.243885,290.719796,197.996991
0.858586,1.000000,-19.597450,0.010000,0.025000
0.868687,1.000000,-19.597450,0.010000,0.025000
0.878788,1.000000,-19.597450,0.010000,0.025000
0.888889,1.000000,-19.597450,0.010000,0.025000
0.898990,1.000000,-19.597450,0.010000,0.025000
0.909091,1.000000,-19.597450,0.010000,0.025000
0.919192,1.000000,-19.597450,0.010000,0.025000
0.929293,1.000000,-19.597450,0.010000,0.025000
0.939394,1.000000,-19.597450,0.010000,0.025000
0.949495,1.000000,-19.597450,0.010000,0.025000
0.959596,1.000000,-19.597450,0.010000,0.025000
0.969697,1.000000,-19.597450,0.010000,0.025000
0.979798,1.000000,-19.597450,0.010000,0.025000
0.989899,1.000000,-19.597450,0.010000,0.025000
1.000000,1.000000,-19.597450,0.010000,0.025000
