x,d,v,p,e
0.000000,0.993281,-19.345479,990.610659,2493.279335
0.010101,0.991213,-19.267750,987.728177,2491.209644
0.020202,0.988688,-19.172643,984.211620,2488.680206
0.030303,0.985656,-19.058197,979.994242,2485.639981
0.040404,0.982073,-18.922643,975.018901,2482.043673
0.050505,0.977904,-18.764477,969.240754,2477.853514
0.060606,0.973123,-18.582515,962.629245,2473.040601
0.070707,0.967716,-18.375921,955.169207,2467.585679
0.080808,0.961679,-18.144219,946.861044,2461.479355
0.090909,0.955017,-17.887285,937.720066,2454.721777
0.101010,0.947745,-17.605319,927.775119,2447.321890
0.111111,0.939889,-17.298813,917.066708,2439.296373
0.121212,0.931477,-16.968504,905.644834,2430.668396
0.131313,0.922547,-16.615326,893.566717,2421.466307
0.141414,0.913138,-16.240370,880.894592,2411.722348
0.151515,0.903294,-15.844834,867.693680,2401.471467
0.161616,0.893057,-15.429989,854.030421,2390.750282
0.171717,0.882472,-14.997146,839.971004,2379.596205
0.181818,0.871584,-14.547630,825.580206,2368.046747
0.191919,0.860434,-14.082764,810.920524,2356.138998
0.202020,0.849064,-13.603848,796.051573,2343.909256
0.212121,0.837514,-13.112158,781.029719,2331.392801
0.222222,0.825822,-12.608937,765.907902,2318.623791
0.232323,0.814023,-12.095400,750.735621,2305.635257
0.242424,0.802151,-11.572731,735.559047,2292.459193
0.252525,0.790238,-11.042094,720.421230,2279.126714
0.262626,0.778316,-10.504643,705.362392,2265.668289
0.272727,0.766414,-9.961530,690.420274,2252.114025
0.282828,0.754559,-9.413922,675.630531,2238.494015
0.292929,0.742781,-8.863016,661.027170,2224.838740
0.303030,0.731106,-8.310061,646.643021,2211.179530
0.313131,0.719563,-7.756376,632.510238,2197.549088
0.323232,0.708180,-7.203379,618.660833,2183.982078
0.333333,0.696986,-6.652615,605.127229,2170.515785
0.343434,0.686011,-6.105783,591.942849,2157.190837
0.353535,0.675290,-5.564775,579.142703,2144.051995
0.363636,0.664857,-5.031709,566.763973,2131.148962
0.373737,0.654752,-4.508964,554.846560,2118.537206
0.383838,0.645016,-3.999212,543.433523,2106.278673
0.393939,0.635696,-3.505439,532.571335,2094.442320
0.404040,0.626841,-3.030951,522.309832,2083.104236
0.414141,0.618504,-2.579348,512.701671,2072.347136
0.424242,0.610739,-2.154461,503.801115,2062.258891
0.434343,0.603603,-1.760225,495.661888,2052.929742
0.444444,0.597146,-1.400488,488.333940,2044.447859
0.454545,0.591414,-1.078735,481.859028,2036.893109
0.464646,0.586439,-0.797754,476.265309,2030.329199
0.474747,0.582234,-0.559260,471.561487,2024.794970
0.484848,0.578791,-0.363547,467.731496,2020.296216
0.494949,0.576075,-0.209256,464.731044,2016.799986
0.505051,0.574024,-0.093325,462.487371,2014.233341
0.515152,0.572554,-0.011191,460.903098,2012.488048
0.525253,0.571563,0.042779,459.864102,2011.430712
0.535354,0.570946,0.074677,459.250162,2010.916533
0.545455,0.570600,0.090424,458.946254,2010.805430
0.555556,0.570435,0.095221,458.852119,2010.974670
0.565657,0.570380,0.093211,458.888251,2011.327103
0.575758,0.570384,0.087374,458.997596,2011.793749
0.585859,0.570412,0.079633,459.143338,2012.331277
0.595960,0.570446,0.071108,459.304053,2012.916100
0.606061,0.570474,0.062418,459.467901,2013.537223
0.616162,0.570487,0.053952,459.627408,2014.189853
0.626263,0.570478,0.046054,459.775990,2014.871227
0.636364,0.570440,0.039085,459.906709,2015.579285
0.646465,0.570364,0.033384,460.013053,2016.313949
0.656566,0.570244,0.029162,460.090946,2017.080022
0.666667,0.570077,0.026398,460.140834,2017.890290
0.676768,0.569863,0.024776,460.168718,2018.767449
0.686869,0.569609,0.023733,460.185422,2019.743922
0.696970,0.569317,0.022588,460.203985,2020.859208
0.707071,0.568992,0.020743,460.235825,2022.155517
0.717172,0.568628,0.017889,460.286877,2023.671744
0.727273,0.568218,0.014133,460.355071,2025.435059
0.737374,0.567747,0.010001,460.430292,2027.443675
0.747475,0.567221,0.006296,460.497166,2029.621393
0.757576,0.566699,0.003838,460.540065,2031.678503
0.767677,0.566432,0.003160,460.548776,2032.673853
0.777778,0.567289,0.004287,460.522841,2029.490016
0.787879,0.572609,0.006653,460.472839,2010.415711
0.797980,0.602239,0.009206,460.417562,1911.275605
0.808081,4.462207,0.009498,460.306173,257.891511
0.818182,5.818964,0.008776,460.325204,197.769393
0.828283,5.953529,-0.012447,460.785940,193.492781
0.838384,5.932374,-0.145040,455.431896,191.926483
0.848485,5.200652,-1.495090,375.972121,180.733166
0.858586,1.928611,-11.162410,77.735661,100.766403
0.868687,1.000000,-19.597450,0.010000,0.025000
0.878788,1.000000,-19.597450,0.010000,0.025000
0.888889,1.000000,-19.597450,0.010000,0.025000
0.898990,1.000000,-19.597450,0.010000,0.025000
0.909091,1.000000,-19.597450,0.010000,0.025000
0.919192,1.000000,-19.597450,0.010000,0.025000
0.929293,1.000000,-19.597450,0.010000,0.025000
0.939394,1.000000,-19.597450,0.010000,0.025000
0.949495,1.000000,-19.597450,0.010000,0.025000
0.959596,1.000000,-19.597450,0.010000,0.025000
0.969697,1.000000,-19.597450,0.010000,0.025000
0.979798,1.000000,-19.597450,0.010000,0.025000
0.989899,1.000000,-19.597450,0.010000,0.025000
1.000000,1.000000,-19.597450,0.010000,0.025000
