x,d,v,p,e
0.000000,0.948593,-17.649694,929.258826,2449.046156
0.010101,0.948593,-17.649694,929.258826,2449.046156
0.020202,0.948593,-17.649694,929.258826,2449.046156
0.030303,0.941887,-17.391077,920.185059,2442.397669
0.040404,0.941887,-17.391077,920.185059,2442.397669
0.050505,0.932697,-17.034721,907.801727,2433.271086
0.060606,0.932697,-17.034721,907.801727,2433.271086
0.070707,0.922206,-16.624805,893.730967,2422.807462
0.080808,0.922206,-16.624805,893.730967,2422.807462
0.090909,0.910770,-16.173959,878.468637,2411.335124
0.101010,0.910770,-16.173959,878.468637,2411.335124
0.111111,0.898531,-15.686581,862.218346,2398.967070
0.121212,0.898531,-15.686581,862.218346,2398.967070
0.131313,0.885583,-15.165169,845.116185,2385.761686
0.141414,0.885583,-15.165169,845.116185,2385.761686
0.151515,0.872018,-14.612013,827.288543,2371.764121
0.161616,0.872018,-14.612013,827.288543,2371.764121
0.171717,0.857934,-14.029611,808.864979,2357.014963
0.181818,0.857934,-14.029611,808.864979,2357.014963
0.191919,0.843436,-13.420753,789.979292,2341.549757
0.202020,0.843436,-13.420753,789.979292,2341.549757
0.212121,0.828641,-12.788512,770.767727,2325.395660
0.222222,0.828641,-12.788512,770.767727,2325.395660
0.232323,0.813672,-12.136225,751.366704,2308.566837
0.242424,0.813672,-12.136225,751.366704,2308.566837
0.252525,0.798660,-11.467464,731.910704,2291.058876
0.262626,0.798660,-11.467464,731.910704,2291.058876
0.272727,0.783744,-10.786013,712.530455,2272.842117
0.282828,0.783744,-10.786013,712.530455,2272.842117
0.292929,0.769073,-10.095845,693.351427,2253.853663
0.303030,0.769073,-10.095845,693.351427,2253.853663
0.313131,0.754808,-9.401099,674.492596,2233.987837
0.323232,0.754808,-9.401099,674.492596,2233.987837
0.333333,0.741121,-8.706059,656.065407,2213.084864
0.343434,0.741121,-8.706059,656.065407,2213.084864
0.353535,0.728203,-8.015117,638.172881,2190.917728
0.363636,0.728203,-8.015117,638.172881,2190.917728
0.373737,0.716264,-7.332741,620.908797,2167.177477
0.383838,0.716264,-7.332741,620.908797,2167.177477
0.393939,0.705544,-6.663422,604.356881,2141.457762
0.404040,0.705544,-6.663422,604.356881,2141.457762
0.414141,0.696312,-6.011612,588.589976,2113.240293
0.424242,0.696312,-6.011612,588.589976,2113.240293
0.434343,0.688882,-5.381649,573.669124,2081.884112
0.444444,0.688882,-5.381649,573.669124,2081.884112
0.454545,0.683617,-4.777674,559.642562,2046.623206
0.464646,0.683617,-4.777674,559.642562,2046.623206
0.474747,0.680941,-4.203535,546.544587,2006.578684
0.484848,0.680941,-4.203535,546.544587,2006.578684
0.494949,0.681350,-3.662701,534.394233,1960.793058
0.505051,0.681350,-3.662701,534.394233,1960.793058
0.515152,0.685421,-3.158201,523.193648,1908.294051
0.525253,0.685421,-3.158201,523.193648,1908.294051
0.535354,0.693821,-2.692602,512.925884,1848.192371
0.545455,0.693821,-2.692602,512.925884,1848.192371
0.555556,0.707311,-2.268074,503.551616,1779.810823
0.565657,0.707311,-2.268074,503.551616,1779.810823
0.575758,0.726737,-1.886573,495.003948,1702.830709
0.585859,0.726737,-1.886573,495.003948,1702.830709
0.595960,0.753017,-1.550180,487.180133,1617.428036
0.606061,0.753017,-1.550180,487.180133,1617.428036
0.616162,0.787098,-1.261611,479.928880,1524.362141
0.626263,0.787098,-1.261611,479.928880,1524.362141
0.636364,0.829893,-1.024889,473.032196,1424.980297
0.646465,0.829893,-1.024889,473.032196,1424.980297
0.656566,0.882173,-0.846082,466.181978,1321.118556
0.666667,0.882173,-0.846082,466.181978,1321.118556
0.676768,0.944421,-0.733966,458.953990,1214.908855
0.686869,0.944421,-0.733966,458.953990,1214.908855
0.696970,1.016626,-0.700428,450.785567,1108.533606
0.707071,1.016626,-0.700428,450.785567,1108.533606
0.717172,1.098042,-0.760415,440.967644,1003.986543
0.727273,1.098042,-0.760415,440.967644,1003.986543
0.737374,1.186920,-0.931315,428.665295,902.893903
0.747475,1.186920,-0.931315,428.665295,902.893903
0.757576,1.280283,-1.231749,412.981760,806.426610
0.767677,1.280283,-1.231749,412.981760,806.426610
0.777778,1.373808,-1.679806,393.076640,715.305118
0.787879,1.373808,-1.679806,393.076640,715.305118
0.797980,1.461942,-2.290792,368.337356,629.876996
0.808081,1.461942,-2.290792,368.337356,629.876996
0.818182,1.538347,-3.074512,338.583654,550.239391
0.828283,1.538347,-3.074512,338.583654,550.239391
0.838384,1.596728,-4.032020,304.260880,476.381890
0.848485,1.596728,-4.032020,304.260880,476.381890
0.858586,1.631984,-5.151779,266.557286,408.333136
0.868687,1.631984,-5.151779,266.557286,408.333136
0.878788,1.641479,-6.405333,227.377098,346.299046
0.888889,1.641479,-6.405333,227.377098,346.299046
0.898990,1.626061,-7.743099,189.127330,290.775260
0.909091,1.626061,-7.743099,189.127330,290.775260
0.919192,1.590442,-9.091797,154.335692,242.598803
0.929293,1.590442,-9.091797,154.335692,242.598803
0.939394,1.542683,-10.356219,125.192742,202.881506
0.949495,1.542683,-10.356219,125.192742,202.881506
0.959596,1.492851,-11.428400,103.167049,172.768547
0.969697,1.492851,-11.428400,103.167049,172.768547
0.979798,1.451264,-12.205241,88.836582,153.033155
0.989899,1.451264,-12.205241,88.836582,153.033155
1.000000,1.426971,-12.610357,81.998469,143.658269
