x,d,v,p,e
0.000000,0.948050,0.003706,0.927994,2.447112
0.010101,0.950943,0.010272,0.932004,2.450210
0.020202,0.945159,0.021701,0.924096,2.444287
0.030303,0.936919,0.033272,0.912864,2.435814
0.040404,0.925896,0.046169,0.897903,2.424418
0.050505,0.912247,0.060734,0.879482,2.410209
0.060606,0.896204,0.077118,0.857976,2.393361
0.070707,0.878040,0.095349,0.833816,2.374084
0.080808,0.858053,0.115367,0.807466,2.352611
0.090909,0.836550,0.137053,0.779394,2.329189
0.101010,0.813838,0.160251,0.750055,2.304069
0.111111,0.790205,0.184788,0.719875,2.277493
0.121212,0.765921,0.210489,0.689234,2.249692
0.131313,0.741225,0.237188,0.658468,2.220878
0.141414,0.716327,0.264731,0.627858,2.191242
0.151515,0.691406,0.292979,0.597639,2.160955
0.161616,0.666614,0.321814,0.567999,2.130165
0.171717,0.642075,0.351129,0.539087,2.099000
0.181818,0.617890,0.380839,0.511013,2.067571
0.191919,0.594140,0.410867,0.483861,2.035972
0.202020,0.570887,0.441152,0.457688,2.004283
0.212121,0.548181,0.471643,0.432530,1.972571
0.222222,0.526056,0.502298,0.408407,1.940891
0.232323,0.504538,0.533080,0.385325,1.909292
0.242424,0.483646,0.563963,0.363279,1.877813
0.252525,0.463389,0.594923,0.342256,1.846486
0.262626,0.443772,0.625940,0.322239,1.815340
0.272727,0.424796,0.657000,0.303202,1.784398
0.282828,0.406457,0.688090,0.285118,1.753679
0.292929,0.388750,0.719198,0.267958,1.723200
0.303030,0.371667,0.750316,0.251689,1.692975
0.313131,0.355199,0.781434,0.236280,1.663016
0.323232,0.339333,0.812545,0.221698,1.633336
0.333333,0.324060,0.843641,0.207910,1.603944
0.343434,0.309367,0.874713,0.194883,1.574851
0.353535,0.295241,0.905751,0.182585,1.546067
0.363636,0.281618,0.936911,0.170941,1.517494
0.373737,0.267814,0.970422,0.159370,1.487696
0.383838,0.254340,1.004691,0.148309,1.457777
0.393939,0.241462,1.038790,0.137957,1.428346
0.404040,0.229204,1.072549,0.128310,1.399515
0.414141,0.217675,1.105433,0.119427,1.371620
0.424242,0.207372,1.135247,0.111649,1.345997
0.434343,0.199032,1.158468,0.105468,1.324756
0.444444,0.193736,1.169702,0.101607,1.311144
0.454545,0.192952,1.161696,0.101082,1.309676
0.464646,0.197882,1.129050,0.104801,1.324034
0.474747,0.207821,1.076312,0.112379,1.351868
0.484848,0.219632,1.018538,0.121586,1.383974
0.494949,0.230358,0.967785,0.130181,1.412806
0.505051,0.239188,0.926075,0.137508,1.437239
0.515152,0.246252,0.891574,0.143719,1.459060
0.525253,0.251309,0.863808,0.148738,1.479629
0.535354,0.254946,0.839210,0.153264,1.502906
0.545455,0.256941,0.817009,0.157420,1.531677
0.555556,0.256966,0.796845,0.161242,1.568714
0.565657,0.254812,0.778430,0.164757,1.616463
0.575758,0.250507,0.761531,0.167984,1.676439
0.585859,0.244377,0.745952,0.170938,1.748708
0.595960,0.236998,0.731530,0.173635,1.831609
0.606061,0.229076,0.718127,0.176095,1.921801
0.616162,0.221300,0.705628,0.178340,2.014687
0.626263,0.214230,0.693937,0.180394,2.105140
0.636364,0.208238,0.682978,0.182282,2.188388
0.646465,0.203500,0.672685,0.184029,2.260802
0.656566,0.200030,0.663006,0.185658,2.320379
0.666667,0.197723,0.653896,0.187189,2.366809
0.676768,0.196404,0.645315,0.188639,2.401166
0.686869,0.195868,0.637223,0.190022,2.425392
0.696970,0.195910,0.629580,0.191346,2.441760
0.707071,0.196349,0.622325,0.192613,2.452436
0.717172,0.197026,0.615353,0.193811,2.459208
0.727273,0.197801,0.608450,0.194900,2.463328
0.737374,0.198525,0.601158,0.195779,2.465420
0.747475,0.198983,0.592501,0.196223,2.465313
0.757576,0.198804,0.580478,0.195758,2.461695
0.767677,0.197306,0.561179,0.193474,2.451443
0.777778,0.193339,0.527645,0.187823,2.428675
0.787879,0.185348,0.469475,0.176778,2.384402
0.797980,0.172337,0.377147,0.159247,2.310107
0.808081,0.156061,0.256437,0.137968,2.210158
0.818182,0.141465,0.140128,0.119565,2.112976
0.828283,0.132199,0.062056,0.108335,2.048715
0.838384,0.127749,0.023713,0.103128,2.018168
0.848485,0.125966,0.008313,0.101089,2.006275
0.858586,0.125322,0.002767,0.100362,2.002074
0.868687,0.125103,0.000887,0.100116,2.000663
0.878788,0.125032,0.000275,0.100036,2.000206
0.888889,0.125010,0.000083,0.100011,2.000062
0.898990,0.125003,0.000024,0.100003,2.000018
0.909091,0.125001,0.000007,0.100001,2.000005
0.919192,0.125000,0.000002,0.100000,2.000001
0.929293,0.125000,0.000001,0.100000,2.000000
0.939394,0.125000,0.000000,0.100000,2.000000
0.949495,0.125000,0.000000,0.100000,2.000000
0.959596,0.125000,0.000000,0.100000,2.000000
0.969697,0.125000,0.000000,0.100000,2.000000
0.979798,0.125000,0.000000,0.100000,2.000000
0.989899,0.125000,0.000000,0.100000,2.000000
1.000000,0.125000,0.000000,0.100000,2.000000
