x,d,v,p,e
0.000000,0.950369,0.003561,0.931159,2.449468
0.010101,0.953113,0.009886,0.934990,2.452463
0.020202,0.947482,0.020902,0.927269,2.446666
0.030303,0.939434,0.032105,0.916282,2.438387
0.040404,0.928633,0.044659,0.901599,2.427223
0.050505,0.915214,0.058909,0.883460,2.413259
0.060606,0.899387,0.075017,0.862206,2.396649
0.070707,0.881404,0.093020,0.838244,2.377581
0.080808,0.861548,0.112866,0.812017,2.356274
0.090909,0.840119,0.134440,0.783987,2.332967
0.101010,0.817419,0.157586,0.754610,2.307904
0.111111,0.793742,0.182131,0.724314,2.281328
0.121212,0.769360,0.207894,0.693493,2.253471
0.131313,0.744522,0.234705,0.662491,2.224552
0.141414,0.719445,0.262402,0.631605,2.194766
0.151515,0.694316,0.290842,0.601080,2.164290
0.161616,0.669295,0.319899,0.571117,2.133278
0.171717,0.644512,0.349463,0.541871,2.101865
0.181818,0.620075,0.379441,0.513464,2.070166
0.191919,0.596070,0.409755,0.485983,2.038281
0.202020,0.572562,0.440340,0.459491,2.006291
0.212121,0.549604,0.471140,0.434027,1.974269
0.222222,0.527235,0.502111,0.409613,1.942272
0.232323,0.505481,0.533217,0.386259,1.910351
0.242424,0.484362,0.564427,0.363959,1.878547
0.252525,0.463888,0.595717,0.342701,1.846895
0.262626,0.444066,0.627068,0.322467,1.815422
0.272727,0.424896,0.658462,0.303232,1.784154
0.282828,0.406376,0.689887,0.284969,1.753109
0.292929,0.388499,0.721332,0.267646,1.722306
0.303030,0.371258,0.752788,0.251231,1.691759
0.313131,0.354642,0.784244,0.235692,1.661480
0.323232,0.338641,0.815695,0.220994,1.631479
0.333333,0.323242,0.847131,0.207104,1.601768
0.343434,0.308434,0.878545,0.193987,1.572356
0.353535,0.294202,0.909929,0.181611,1.543250
0.363636,0.280431,0.941608,0.169857,1.514248
0.373737,0.266443,0.975821,0.158151,1.483910
0.383838,0.252877,1.010534,0.147036,1.453625
0.393939,0.239912,1.045095,0.136637,1.423821
0.404040,0.227571,1.079341,0.126948,1.394600
0.414141,0.215978,1.112677,0.118039,1.366334
0.424242,0.205730,1.142471,0.110323,1.340623
0.434343,0.197569,1.165111,0.104286,1.319614
0.444444,0.192542,1.175290,0.100622,1.306493
0.454545,0.192094,1.165836,0.100328,1.305719
0.464646,0.197420,1.131467,0.104309,1.320901
0.474747,0.207770,1.077094,0.112149,1.349442
0.484848,0.219918,1.018236,0.121553,1.381805
0.494949,0.230888,0.966984,0.130254,1.410363
0.505051,0.239938,0.925071,0.137637,1.434091
0.515152,0.247153,0.890968,0.143771,1.454267
0.525253,0.252592,0.863307,0.148775,1.472481
0.535354,0.256861,0.838635,0.153330,1.492344
0.545455,0.259678,0.816380,0.157515,1.516447
0.555556,0.260601,0.796172,0.161370,1.548058
0.565657,0.259167,0.777720,0.164919,1.590861
0.575758,0.255080,0.760789,0.168179,1.648292
0.585859,0.248402,0.745184,0.171158,1.722592
0.595960,0.239654,0.730739,0.173868,1.813737
0.606061,0.229765,0.717312,0.176322,1.918510
0.616162,0.219855,0.704785,0.178542,2.030221
0.626263,0.210963,0.693061,0.180554,2.139638
0.636364,0.203804,0.682062,0.182388,2.237296
0.646465,0.198672,0.671724,0.184076,2.316326
0.656566,0.195480,0.661998,0.185648,2.374257
0.666667,0.193887,0.652840,0.187128,2.412843
0.676768,0.193460,0.644214,0.188535,2.436365
0.686869,0.193786,0.636083,0.189884,2.449657
0.696970,0.194543,0.628403,0.191181,2.456793
0.707071,0.195506,0.621117,0.192426,2.460612
0.717172,0.196531,0.614115,0.193605,2.462789
0.727273,0.197513,0.607172,0.194676,2.464091
0.737374,0.198339,0.599802,0.195528,2.464567
0.747475,0.198823,0.590969,0.195923,2.463530
0.757576,0.198600,0.578563,0.195362,2.459241
0.767677,0.196986,0.558544,0.192906,2.448227
0.777778,0.192853,0.523958,0.187022,2.424408
0.787879,0.184777,0.465010,0.175836,2.379034
0.797980,0.172001,0.373651,0.158559,2.304617
0.808081,0.156238,0.256143,0.137900,2.206565
0.818182,0.141900,0.142324,0.119885,2.112134
0.828283,0.132509,0.064099,0.108616,2.049213
0.838384,0.127887,0.024744,0.103265,2.018680
0.848485,0.126015,0.008711,0.101141,2.006527
0.858586,0.125338,0.002901,0.100379,2.002168
0.868687,0.125108,0.000929,0.100121,2.000694
0.878788,0.125034,0.000288,0.100038,2.000215
0.888889,0.125010,0.000086,0.100011,2.000065
0.898990,0.125003,0.000025,0.100003,2.000019
0.909091,0.125001,0.000007,0.100001,2.000005
0.919192,0.125000,0.000002,0.100000,2.000001
0.929293,0.125000,0.000001,0.100000,2.000000
0.939394,0.125000,0.000000,0.100000,2.000000
0.949495,0.125000,0.000000,0.100000,2.000000
0.959596,0.125000,0.000000,0.100000,2.000000
0.969697,0.125000,0.000000,0.100000,2.000000
0.979798,0.125000,0.000000,0.100000,2.000000
0.989899,0.125000,0.000000,0.100000,2.000000
1.000000,0.125000,0.000000,0.100000,2.000000
