x,d,v,p,e
0.000000,17377729875911049744958975251088320697768176964287705643893663749523244372136838845546853903769721794087656934977935310047190630524225033366266027010683907225502915093756991995737964816486210381807616.000000,10268.889354,nan,nan
0.010101,17377729875911049744958975251088320697768176964287705643893663749523244372136838845546853903769721794087656934977935310047190630524225033366266027010683907225502915093756991995737964816486210381807616.000000,10268.889354,nan,nan
0.020202,10661518794801773213741443205843891992192220642160573958398425633080499182802277178436849104663126266843498735448637273057710455681921315230459869110069412906374713531515724350549201892781366282551296.000000,10655.023443,nan,nan
0.030303,-3929129210053409282332720180546079607433917317055750940228661413000375058738852293535137029215196090356206627584932315136.000000,518.216506,-24103915786848691168023293118903120836775834531171434145656211784772077064951025546567143005564778935783915551036845866967558520832.000000,15336677987.818735
0.040404,44595225683566391053160308427397851096102611964551174997207847304129215519922912411674376781132997377449263104.000000,455.045083,308216248848825304318324121110483056504002944929448356752663547829998957194358280715743830022218871986528890434550235136.000000,17278545187.540382
0.050505,-5056302264336073525264887197795760175372634402774135108619773242754774588973071068165516097398767616.000000,392.725605,-40136585871965315941546716477873109195105275239547746488249771896101915032587614207435870994869126222531526656.000000,19844831150.158470
0.060606,2111446020924231716813719330968506520613949590360727098403325375996633484519175735077765120.000000,337.158375,19849513288639283986830089101804041220258085762800323630156576481948267972761610846998851076818468864.000000,23502274142.853378
0.070707,-2016706192819602190166264275664289324757069166491866619507749278247600803928866816.000000,288.174424,-23423293030041420910463342777191547347457819974906626007261549016935308153881493720560304128.000000,29036571010.491112
0.080808,3241368126644354850369407738498965883529147863763950094027230860122521600.000000,245.344135,49298052227488317041614018376267448083370643417123372498391192057782585550966882304.000000,38022565087.758499
0.090909,-6939804828672618194469244166916252673865442516003565124865490944.000000,208.135607,-149797670047512002908277977399333718977581028864245424736748090578687754240.000000,53963214292.643135
0.101010,16134275933278377433242926335818886475610287778926952448.000000,176.012322,553297474046110153808635167252030375451785067500330631721975283712.000000,85733235928.004227
0.111111,-33357222619098300993167021775894719452671901696.000000,148.485964,-2134310906915362159862421144128626045187921723753926492160.000000,159958679060.812073
0.121212,49497539686130077859615267023795257344.000000,125.146240,7467054315448348599092157484540617304444514598912.000000,377142700566.424622
0.131313,-39994807644894788453836783616.000000,105.681601,-20352205597212432077734359354111309119488.000000,1272177989822.781982
0.141414,38613119404526403584.000000,92.563545,145460349341896237991014011240448.000000,9417806148863.275391
0.151515,-5267918.645323,4.111348,-480627.445620,0.228092
0.161616,0.239995,0.720286,0.121105,1.261539
0.171717,5519215.769235,4.110418,515435.979910,0.233473
0.181818,-134177922.665241,4.376444,-13175830.175744,0.245492
0.191919,0.277639,0.729020,0.146354,1.317842
0.202020,138692813.834271,4.375817,13839965.964045,0.249472
0.212121,-3747177874.927818,4.656126,-383265933.253284,0.255703
