x,d,v,p,e
0.000000,0.992817,0.002629,0.989959,2.492802
0.010101,0.990499,0.005092,0.986724,2.490473
0.020202,0.987395,0.008208,0.982399,2.487352
0.030303,0.982458,0.012894,0.975534,2.482379
0.040404,0.975584,0.019325,0.965998,2.475433
0.050505,0.966323,0.028003,0.953195,2.466035
0.060606,0.954401,0.039267,0.936788,2.453864
0.070707,0.939629,0.053384,0.916577,2.438667
0.080808,0.921986,0.070473,0.892605,2.420333
0.090909,0.901605,0.090512,0.865144,2.398898
0.101010,0.878763,0.113345,0.834659,2.374527
0.111111,0.853836,0.138720,0.801749,2.347491
0.121212,0.827252,0.166322,0.767070,2.318125
0.131313,0.799454,0.195812,0.731274,2.286792
0.141414,0.770857,0.226856,0.694960,2.253855
0.151515,0.741837,0.259144,0.658649,2.219654
0.161616,0.712712,0.292406,0.622766,2.184492
0.171717,0.683745,0.326408,0.587648,2.148636
0.181818,0.655145,0.360960,0.553547,2.112308
0.191919,0.627072,0.395907,0.520644,2.075694
0.202020,0.599650,0.431125,0.489061,2.038946
0.212121,0.572964,0.466519,0.458873,2.002188
0.222222,0.547076,0.502013,0.430116,1.965520
0.232323,0.522030,0.537551,0.402800,1.929010
0.242424,0.497832,0.573089,0.376914,1.892775
0.252525,0.474546,0.608597,0.352432,1.856677
0.262626,0.452033,0.644050,0.329310,1.821271
0.272727,0.430584,0.679428,0.307515,1.785457
0.282828,0.409683,0.714741,0.286973,1.751193
0.292929,0.389961,0.749914,0.267675,1.716035
0.303030,0.370799,0.785085,0.249493,1.682130
0.313131,0.352563,0.819998,0.232480,1.648495
0.323232,0.334983,0.855058,0.216425,1.615192
0.333333,0.318413,0.889603,0.201510,1.582143
0.343434,0.302139,0.924747,0.187305,1.549827
0.353535,0.287274,0.958458,0.174410,1.517805
0.363636,0.271634,0.994937,0.161524,1.486593
0.373737,0.260281,1.022451,0.151747,1.457530
0.383838,0.240420,1.078147,0.136088,1.415114
0.393939,0.236961,1.078507,0.133287,1.406208
0.404040,0.224641,1.113909,0.123453,1.373893
0.414141,0.213009,1.144623,0.115087,1.350723
0.424242,0.200695,1.185405,0.105484,1.313984
0.434343,0.183508,1.256691,0.092195,1.256015
0.444444,0.148044,1.403671,0.069672,1.176536
0.454545,0.141326,1.449387,0.063308,1.119898
0.464646,0.181253,1.222405,0.091222,1.258219
0.474747,0.211836,1.073649,0.114367,1.349706
0.484848,0.226112,1.006669,0.125583,1.388501
0.494949,0.236366,0.961376,0.133301,1.409904
0.505051,0.245162,0.924641,0.139687,1.424435
0.515152,0.251693,0.892837,0.145361,1.443831
0.525253,0.256051,0.865127,0.150418,1.468635
0.535354,0.261255,0.840434,0.155028,1.483493
0.545455,0.269702,0.818229,0.159260,1.476260
0.555556,0.279458,0.797967,0.163218,1.460130
0.565657,0.284831,0.779403,0.166923,1.465103
0.575758,0.280983,0.762335,0.170354,1.515692
0.585859,0.267532,0.746630,0.173454,1.620867
0.595960,0.248374,0.732136,0.176190,1.773437
0.606061,0.228804,0.718714,0.178573,1.951158
0.616162,0.212763,0.706224,0.180651,2.122676
0.626263,0.201799,0.694546,0.182492,2.260816
0.636364,0.195540,0.683588,0.184161,2.354527
0.646465,0.192724,0.673282,0.185709,2.408996
0.656566,0.192028,0.663582,0.187169,2.436729
0.666667,0.192454,0.654447,0.188562,2.449439
0.676768,0.193386,0.645841,0.189902,2.454952
0.686869,0.194501,0.637734,0.191196,2.457517
0.696970,0.195651,0.630090,0.192450,2.459103
0.707071,0.196770,0.622843,0.193659,2.460469
0.717172,0.197830,0.615890,0.194809,2.461816
0.727273,0.198829,0.609214,0.195903,2.463208
0.737374,0.199845,0.603240,0.197048,2.465016
0.747475,0.201071,0.599030,0.198508,2.468137
0.757576,0.202561,0.596796,0.200355,2.472774
0.767677,0.203333,0.590786,0.201229,2.474139
0.777778,0.200160,0.562475,0.196696,2.456736
0.787879,0.188503,0.483448,0.180674,2.396171
0.797980,0.168174,0.343048,0.153456,2.281207
0.808081,0.147261,0.184797,0.126557,2.148520
0.818182,0.133855,0.075149,0.110210,2.058399
0.828283,0.127961,0.025296,0.103351,2.019191
0.838384,0.125907,0.007765,0.101020,2.005832
0.848485,0.125267,0.002285,0.100299,2.001710
0.858586,0.125077,0.000656,0.100086,2.000491
0.868687,0.125022,0.000185,0.100024,2.000138
0.878788,0.125006,0.000051,0.100007,2.000038
0.888889,0.125002,0.000014,0.100002,2.000010
0.898990,0.125000,0.000004,0.100000,2.000003
0.909091,0.125000,0.000001,0.100000,2.000001
0.919192,0.125000,0.000000,0.100000,2.000000
0.929293,0.125000,0.000000,0.100000,2.000000
0.939394,0.125000,0.000000,0.100000,2.000000
0.949495,0.125000,0.000000,0.100000,2.000000
0.959596,0.125000,0.000000,0.100000,2.000000
0.969697,0.125000,0.000000,0.100000,2.000000
0.979798,0.125000,0.000000,0.100000,2.000000
0.989899,0.125000,0.000000,0.100000,2.000000
1.000000,0.125000,0.000000,0.100000,2.000000
