x,q,v
150.040000,1.000000,100.000000
150.140025,1.000000,100.000000
150.240050,1.000000,100.000000
150.340075,1.000000,100.000000
150.440100,1.000000,100.000000
150.540125,1.000000,100.000000
150.640150,1.000000,100.000000
150.740175,1.000000,100.000000
150.840200,1.000000,100.000000
150.940225,1.000000,100.000000
151.040250,1.000000,100.000000
151.140275,1.000000,100.000000
151.240300,1.000000,100.000000
151.340325,1.000000,100.000000
151.440350,1.000000,100.000000
151.540375,1.000000,100.000000
151.640400,1.000000,100.000000
151.740425,1.000000,100.000000
151.840450,1.000000,100.000000
151.940475,1.000000,100.000000
152.040500,1.000000,100.000000
152.140525,1.000000,100.000000
152.240550,1.000000,100.000000
152.340575,1.000000,100.000000
152.440600,1.000000,100.000000
152.540625,1.000000,100.000000
152.640650,1.000000,100.000000
152.740675,1.000000,100.000000
152.840700,1.000000,100.000000
152.940725,1.000000,100.000000
153.040750,1.000000,100.000000
153.140775,1.000000,100.000000
153.240800,1.000000,100.000000
153.340825,1.000000,100.000000
153.440850,1.000000,100.000000
153.540875,1.000000,100.000000
153.640900,1.000000,100.000000
153.740925,1.000000,100.000000
153.840950,1.000000,100.000000
153.940975,1.000000,100.000000
154.041000,1.000000,100.000000
154.141025,1.000000,100.000000
154.241050,1.000000,100.000000
154.341075,1.000000,100.000000
154.441100,1.000000,100.000000
154.541125,1.000000,100.000000
154.641150,1.000000,100.000000
154.741175,1.000000,100.000000
154.841200,1.000000,100.000000
154.941225,1.000000,100.000000
155.041250,1.000000,100.000000
155.141275,1.000000,100.000000
155.241300,1.000000,100.000000
155.341325,1.000000,100.000000
155.441350,1.000000,100.000000
155.541375,1.000000,100.000000
155.641400,1.000000,100.000000
155.741425,1.000000,100.000000
155.841450,1.000000,100.000000
155.941475,1.000000,100.000000
156.041500,1.000000,100.000000
156.141525,1.000000,100.000000
156.241550,1.000000,100.000000
156.341575,1.000000,100.000000
156.441600,1.000000,100.000000
156.541625,1.000000,100.000000
156.641650,1.000000,100.000000
156.741675,1.000000,100.000000
156.841700,1.000000,100.000000
156.941725,1.000000,100.000000
157.041750,1.000000,100.000000
157.141775,1.000000,100.000000
157.241800,0.999999,100.000000
157.341825,1.000003,100.000000
157.441850,0.999991,100.000000
157.541875,1.000028,100.000000
157.641900,0.999918,100.000000
157.741925,1.000231,100.000000
157.841950,0.999385,100.000000
157.941975,1.001544,100.000000
158.042001,0.996379,100.000000
158.142026,1.007936,100.000000
158.242051,0.984067,100.000000
158.342076,1.029684,100.000000
158.442101,0.951629,100.000000
158.542126,1.072768,100.000000
158.642151,0.913302,100.000000
158.742176,1.088009,100.000000
158.842201,0.949401,100.000000
158.942226,0.985836,100.000000
159.042251,1.078133,100.000000
159.142276,0.915105,100.000000
159.242301,1.017335,100.000000
159.342326,1.079548,100.000000
159.442351,0.907860,100.000000
159.542376,0.985100,100.000000
159.642401,1.121155,100.000000
159.742426,0.948140,100.000000
159.842451,0.885212,100.000000
159.942476,1.096880,100.000000
160.042501,1.121216,100.000000
160.142526,0.873156,100.000000
160.242551,0.846705,100.000000
160.342576,1.132000,100.000000
160.442601,1.226314,100.000000
160.542626,0.889096,100.000000
160.642651,0.707099,100.000000
160.742676,0.881349,100.000000
160.842701,1.357235,100.000000
160.942726,1.297061,100.000000
161.042751,0.793195,100.000000
161.142776,0.568837,100.000000
161.242801,0.514302,100.000000
161.342826,0.502890,100.000000
161.442851,0.500577,100.000000
161.542876,0.500113,100.000000
161.642901,0.500022,100.000000
161.742926,0.500004,100.000000
161.842951,0.500001,100.000000
161.942976,0.500000,100.000000
162.043001,0.500000,100.000000
162.143026,0.500000,100.000000
162.243051,0.500000,100.000000
162.343076,0.500000,100.000000
162.443101,0.500000,100.000000
162.543126,0.500000,100.000000
162.643151,0.500000,100.000000
162.743176,0.500000,100.000000
162.843201,0.500000,100.000000
162.943226,0.500000,100.000000
163.043251,0.500000,100.000000
163.143276,0.500000,100.000000
163.243301,0.500000,100.000000
163.343326,0.500000,100.000000
163.443351,0.500000,100.000000
163.543376,0.500000,100.000000
163.643401,0.500000,100.000000
163.743426,0.500000,100.000000
163.843451,0.500000,100.000000
163.943476,0.500000,100.000000
164.043501,0.500000,100.000000
164.143526,0.500000,100.000000
164.243551,0.500000,100.000000
164.343576,0.500000,100.000000
164.443601,0.500000,100.000000
164.543626,0.500000,100.000000
164.643651,0.500000,100.000000
164.743676,0.500000,100.000000
164.843701,0.500000,100.000000
164.943726,0.500000,100.000000
165.043751,0.500000,100.000000
165.143776,0.500000,100.000000
165.243801,0.500000,100.000000
165.343826,0.500000,100.000000
165.443851,0.500000,100.000000
165.543876,0.500000,100.000000
165.643901,0.500000,100.000000
165.743926,0.500000,100.000000
165.843951,0.500000,100.000000
165.943976,0.500000,100.000000
166.044001,0.500000,100.000000
166.144026,0.500000,100.000000
166.244051,0.500000,100.000000
166.344076,0.500000,100.000000
166.444101,0.500000,100.000000
166.544126,0.500000,100.000000
166.644151,0.500000,100.000000
166.744176,0.500000,100.000000
166.844201,0.500000,100.000000
166.944226,0.500000,100.000000
167.044251,0.500000,100.000000
167.144276,0.500000,100.000000
167.244301,0.500000,100.000000
167.344326,0.500000,100.000000
167.444351,0.500000,100.000000
167.544376,0.500000,100.000000
167.644401,0.500000,100.000000
167.744426,0.500000,100.000000
167.844451,0.500000,100.000000
167.944476,0.500000,100.000000
168.044501,0.500000,100.000000
168.144526,0.500000,100.000000
168.244551,0.500000,100.000000
168.344576,0.500000,100.000000
168.444601,0.500000,100.000000
168.544626,0.500000,100.000000
168.644651,0.500000,100.000000
168.744676,0.500000,100.000000
168.844701,0.500000,100.000000
168.944726,0.500000,100.000000
169.044751,0.500000,100.000000
169.144776,0.500000,100.000000
169.244801,0.500000,100.000000
169.344826,0.500000,100.000000
169.444851,0.500000,100.000000
169.544876,0.500000,100.000000
169.644901,0.500000,100.000000
169.744926,0.500000,100.000000
169.844951,0.500000,100.000000
169.944976,0.500000,100.000000
170.045001,0.500000,100.000000
170.145026,0.500000,100.000000
170.245051,0.500000,100.000000
170.345076,0.500000,100.000000
170.445101,0.500000,100.000000
170.545126,0.500000,100.000000
170.645151,0.500000,100.000000
170.745176,0.500000,100.000000
170.845201,0.500000,100.000000
170.945226,0.500000,100.000000
171.045251,0.500000,100.000000
171.145276,0.500000,100.000000
171.245301,0.500000,100.000000
171.345326,0.500000,100.000000
171.445351,0.500000,100.000000
171.545376,0.500000,100.000000
171.645401,0.500000,100.000000
171.745426,0.500000,100.000000
171.845451,0.500000,100.000000
171.945476,0.500000,100.000000
172.045501,0.500000,100.000000
172.145526,0.500000,100.000000
172.245551,0.500000,100.000000
172.345576,0.500000,100.000000
172.445601,0.500000,100.000000
172.545626,0.500000,100.000000
172.645651,0.500000,100.000000
172.745676,0.500000,100.000000
172.845701,0.500000,100.000000
172.945726,0.500000,100.000000
173.045751,0.500000,100.000000
173.145776,0.500000,100.000000
173.245801,0.500000,100.000000
173.345826,0.500000,100.000000
173.445851,0.500000,100.000000
173.545876,0.500000,100.000000
173.645901,0.500000,100.000000
173.745926,0.500000,100.000000
173.845951,0.500000,100.000000
173.945976,0.500000,100.000000
174.046002,0.500000,100.000000
174.146027,0.500000,100.000000
174.246052,0.500000,100.000000
174.346077,0.500000,100.000000
174.446102,0.500000,100.000000
174.546127,0.500000,100.000000
174.646152,0.500000,100.000000
174.746177,0.500000,100.000000
174.846202,0.500000,100.000000
174.946227,0.500000,100.000000
175.046252,0.500000,100.000000
175.146277,0.500000,100.000000
175.246302,0.500000,100.000000
175.346327,0.500000,100.000000
175.446352,0.500000,100.000000
175.546377,0.500000,100.000000
175.646402,0.500000,100.000000
175.746427,0.500000,100.000000
175.846452,0.500000,100.000000
175.946477,0.500000,100.000000
176.046502,0.500000,100.000000
176.146527,0.500000,100.000000
176.246552,0.500000,100.000000
176.346577,0.500000,100.000000
176.446602,0.500000,100.000000
176.546627,0.500000,100.000000
176.646652,0.500000,100.000000
176.746677,0.500000,100.000000
176.846702,0.500000,100.000000
176.946727,0.500000,100.000000
177.046752,0.500000,100.000000
177.146777,0.500000,100.000000
177.246802,0.500000,100.000000
177.346827,0.500000,100.000000
177.446852,0.500000,100.000000
177.546877,0.500000,100.000000
177.646902,0.500000,100.000000
177.746927,0.500000,100.000000
177.846952,0.500000,100.000000
177.946977,0.500000,100.000000
178.047002,0.500000,100.000000
178.147027,0.500000,100.000000
178.247052,0.500000,100.000000
178.347077,0.500000,100.000000
178.447102,0.500000,100.000000
178.547127,0.500000,100.000000
178.647152,0.500000,100.000000
178.747177,0.500000,100.000000
178.847202,0.500000,100.000000
178.947227,0.500000,100.000000
179.047252,0.500000,100.000000
179.147277,0.500000,100.000000
179.247302,0.500000,100.000000
179.347327,0.500000,100.000000
179.447352,0.500000,100.000000
179.547377,0.500000,100.000000
179.647402,0.500000,100.000000
179.747427,0.500000,100.000000
179.847452,0.500000,100.000000
179.947477,0.500000,100.000000
180.047502,0.500000,100.000000
180.147527,0.500000,100.000000
180.247552,0.500000,100.000000
180.347577,0.500000,100.000000
180.447602,0.500000,100.000000
180.547627,0.500000,100.000000
180.647652,0.500000,100.000000
180.747677,0.500000,100.000000
180.847702,0.500000,100.000000
180.947727,0.500000,100.000000
181.047752,0.500000,100.000000
181.147777,0.500000,100.000000
181.247802,0.500000,100.000000
181.347827,0.500000,100.000000
181.447852,0.500000,100.000000
181.547877,0.500000,100.000000
181.647902,0.500000,100.000000
181.747927,0.500000,100.000000
181.847952,0.500000,100.000000
181.947977,0.500000,100.000000
182.048002,0.500000,100.000000
182.148027,0.500000,100.000000
182.248052,0.500000,100.000000
182.348077,0.500000,100.000000
182.448102,0.500000,100.000000
182.548127,0.500000,100.000000
182.648152,0.500000,100.000000
182.748177,0.500000,100.000000
182.848202,0.500000,100.000000
182.948227,0.500000,100.000000
183.048252,0.500000,100.000000
183.148277,0.500000,100.000000
183.248302,0.500000,100.000000
183.348327,0.500000,100.000000
183.448352,0.500000,100.000000
183.548377,0.500000,100.000000
183.648402,0.500000,100.000000
183.748427,0.500000,100.000000
183.848452,0.500000,100.000000
183.948477,0.500000,100.000000
184.048502,0.500000,100.000000
184.148527,0.500000,100.000000
184.248552,0.500000,100.000000
184.348577,0.500000,100.000000
184.448602,0.500000,100.000000
184.548627,0.500000,100.000000
184.648652,0.500000,100.000000
184.748677,0.500000,100.000000
184.848702,0.500000,100.000000
184.948727,0.500000,100.000000
185.048752,0.500000,100.000000
185.148777,0.500000,100.000000
185.248802,0.500000,100.000000
185.348827,0.500000,100.000000
185.448852,0.500000,100.000000
185.548877,0.500000,100.000000
185.648902,0.500000,100.000000
185.748927,0.500000,100.000000
185.848952,0.500000,100.000000
185.948977,0.500000,100.000000
186.049002,0.500000,100.000000
186.149027,0.500000,100.000000
186.249052,0.500000,100.000000
186.349077,0.500000,100.000000
186.449102,0.500000,100.000000
186.549127,0.500000,100.000000
186.649152,0.500000,100.000000
186.749177,0.500000,100.000000
186.849202,0.500000,100.000000
186.949227,0.500000,100.000000
187.049252,0.500000,100.000000
187.149277,0.500000,100.000000
187.249302,0.500000,100.000000
187.349327,0.500000,100.000000
187.449352,0.500000,100.000000
187.549377,0.500000,100.000000
187.649402,0.500000,100.000000
187.749427,0.500000,100.000000
187.849452,0.500000,100.000000
187.949477,0.500000,100.000000
188.049502,0.500000,100.000000
188.149527,0.500000,100.000000
188.249552,0.499999,100.000000
188.349577,0.500005,100.000000
188.449602,0.499977,100.000000
188.549627,0.500092,100.000000
188.649652,0.499658,100.000000
188.749677,0.501169,100.000000
188.849702,0.496341,100.000000
188.949727,0.510464,100.000000
189.049752,0.473722,100.000000
189.149777,0.561219,100.000000
189.249802,0.390566,100.000000
189.349827,0.703554,100.000000
189.449852,0.290902,100.000000
189.549877,0.705345,100.000000
189.649902,0.522349,100.000000
189.749927,0.183798,100.000000
189.849952,1.337564,100.000000
189.949977,0.020451,100.000000
190.050003,1.778072,100.000000
190.150028,0.000000,100.000000
190.250053,0.000000,100.000000
190.350078,0.000000,100.000000
190.450103,0.000000,100.000000
190.550128,0.000000,100.000000
190.650153,0.000000,100.000000
190.750178,0.000000,100.000000
190.850203,0.000000,100.000000
190.950228,0.000000,100.000000
191.050253,0.000000,100.000000
191.150278,0.000000,100.000000
191.250303,0.000000,100.000000
191.350328,0.000000,100.000000
191.450353,0.000000,100.000000
191.550378,0.000000,100.000000
191.650403,0.000000,100.000000
