x,q,v
300.020000,1.000000,100.000000
300.120025,1.000000,100.000000
300.220050,1.000000,100.000000
300.320075,1.000000,100.000000
300.420100,1.000000,100.000000
300.520125,1.000000,100.000000
300.620150,1.000000,100.000000
300.720175,1.000000,100.000000
300.820200,1.000000,100.000000
300.920225,1.000000,100.000000
301.020250,1.000000,100.000000
301.120275,1.000000,100.000000
301.220300,1.000000,100.000000
301.320325,1.000000,100.000000
301.420350,1.000000,100.000000
301.520375,1.000000,100.000000
301.620400,1.000000,100.000000
301.720425,1.000000,100.000000
301.820450,1.000000,100.000000
301.920475,1.000000,100.000000
302.020500,1.000000,100.000000
302.120525,1.000000,100.000000
302.220550,1.000000,100.000000
302.320575,1.000000,100.000000
302.420600,1.000000,100.000000
302.520625,1.000000,100.000000
302.620650,1.000000,100.000000
302.720675,1.000000,100.000000
302.820700,1.000000,100.000000
302.920725,1.000000,100.000000
303.020750,1.000000,100.000000
303.120775,1.000000,100.000000
303.220800,1.000000,100.000000
303.320825,1.000000,100.000000
303.420850,1.000000,100.000000
303.520875,1.000000,100.000000
303.620900,1.000000,100.000000
303.720925,1.000000,100.000000
303.820950,1.000000,100.000000
303.920975,1.000000,100.000000
304.021000,1.000000,100.000000
304.121025,1.000000,100.000000
304.221050,1.000000,100.000000
304.321075,1.000000,100.000000
304.421100,1.000000,100.000000
304.521125,1.000000,100.000000
304.621150,1.000000,100.000000
304.721175,1.000000,100.000000
304.821200,1.000000,100.000000
304.921225,1.000000,100.000000
305.021250,1.000000,100.000000
305.121275,1.000000,100.000000
305.221300,1.000000,100.000000
305.321325,1.000000,100.000000
305.421350,0.999999,100.000000
305.521375,1.000002,100.000000
305.621400,0.999996,100.000000
305.721425,1.000010,100.000000
305.821450,0.999974,100.000000
305.921475,1.000061,100.000000
306.021500,0.999861,100.000000
306.121525,1.000308,100.000000
306.221550,0.999346,100.000000
306.321575,1.001333,100.000000
306.421600,0.997402,100.000000
306.521625,1.004841,100.000000
306.621650,0.991471,100.000000
306.721675,1.014319,100.000000
306.821700,0.977734,100.000000
306.921725,1.032948,100.000000
307.021750,0.956530,100.000000
307.121775,1.054047,100.000000
307.221800,0.944037,100.000000
307.321825,1.050079,100.000000
307.421850,0.971081,100.000000
307.521875,0.997709,100.000000
307.621900,1.034701,100.000000
307.721925,0.947666,100.000000
307.821950,1.045080,100.000000
307.921975,0.990625,100.000000
308.022001,0.965373,100.000000
308.122026,1.057004,100.000000
308.222051,0.965767,100.000000
308.322076,0.980789,100.000000
308.422101,1.059175,100.000000
308.522126,0.957997,100.000000
308.622151,0.979104,100.000000
308.722176,1.065812,100.000000
308.822201,0.965391,100.000000
308.922226,0.957291,100.000000
309.022251,1.070230,100.000000
309.122276,0.998790,100.000000
309.222301,0.925357,100.000000
309.322326,1.041454,100.000000
309.422351,1.063778,100.000000
309.522376,0.927205,100.000000
309.622401,0.954095,100.000000
309.722426,1.097872,100.000000
309.822451,1.025366,100.000000
309.922476,0.888887,100.000000
310.022501,0.977737,100.000000
310.122526,1.136105,100.000000
310.222551,1.015154,100.000000
310.322576,0.853257,100.000000
310.422601,0.951906,100.000000
310.522626,1.176952,100.000000
310.622651,1.072891,100.000000
310.722676,0.826524,100.000000
310.822701,0.842263,100.000000
310.922726,1.144193,100.000000
311.022751,1.242801,100.000000
311.122776,0.904697,100.000000
311.222801,0.714576,100.000000
311.322826,0.863048,100.000000
311.422851,1.294552,100.000000
311.522876,1.278313,100.000000
311.622901,0.821294,100.000000
311.722926,0.624467,100.000000
311.822951,0.714110,100.000000
311.922976,1.176532,100.000000
312.023001,1.520153,100.000000
312.123026,1.014403,100.000000
312.223051,0.628574,100.000000
312.323076,0.525694,100.000000
312.423101,0.504912,100.000000
312.523126,0.500936,100.000000
312.623151,0.500179,100.000000
312.723176,0.500034,100.000000
312.823201,0.500007,100.000000
312.923226,0.500001,100.000000
313.023251,0.500000,100.000000
313.123276,0.500000,100.000000
313.223301,0.500000,100.000000
313.323326,0.500000,100.000000
313.423351,0.500000,100.000000
313.523376,0.500000,100.000000
313.623401,0.500000,100.000000
313.723426,0.500000,100.000000
313.823451,0.500000,100.000000
313.923476,0.500000,100.000000
314.023501,0.500000,100.000000
314.123526,0.500000,100.000000
314.223551,0.500000,100.000000
314.323576,0.500000,100.000000
314.423601,0.500000,100.000000
314.523626,0.500000,100.000000
314.623651,0.500000,100.000000
314.723676,0.500000,100.000000
314.823701,0.500000,100.000000
314.923726,0.500000,100.000000
315.023751,0.500000,100.000000
315.123776,0.500000,100.000000
315.223801,0.500000,100.000000
315.323826,0.500000,100.000000
315.423851,0.500000,100.000000
315.523876,0.500000,100.000000
315.623901,0.500000,100.000000
315.723926,0.500000,100.000000
315.823951,0.500000,100.000000
315.923976,0.500000,100.000000
316.024001,0.500000,100.000000
316.124026,0.500000,100.000000
316.224051,0.500000,100.000000
316.324076,0.500000,100.000000
316.424101,0.500000,100.000000
316.524126,0.500000,100.000000
316.624151,0.500000,100.000000
316.724176,0.500000,100.000000
316.824201,0.500000,100.000000
316.924226,0.500000,100.000000
317.024251,0.500000,100.000000
317.124276,0.500000,100.000000
317.224301,0.500000,100.000000
317.324326,0.500000,100.000000
317.424351,0.500000,100.000000
317.524376,0.500000,100.000000
317.624401,0.500000,100.000000
317.724426,0.500000,100.000000
317.824451,0.500000,100.000000
317.924476,0.500000,100.000000
318.024501,0.500000,100.000000
318.124526,0.500000,100.000000
318.224551,0.500000,100.000000
318.324576,0.500000,100.000000
318.424601,0.500000,100.000000
318.524626,0.500000,100.000000
318.624651,0.500000,100.000000
318.724676,0.500000,100.000000
318.824701,0.500000,100.000000
318.924726,0.500000,100.000000
319.024751,0.500000,100.000000
319.124776,0.500000,100.000000
319.224801,0.500000,100.000000
319.324826,0.500000,100.000000
319.424851,0.500000,100.000000
319.524876,0.500000,100.000000
319.624901,0.500000,100.000000
319.724926,0.500000,100.000000
319.824951,0.500000,100.000000
319.924976,0.500000,100.000000
320.025001,0.500000,100.000000
320.125026,0.500000,100.000000
320.225051,0.500000,100.000000
320.325076,0.500000,100.000000
320.425101,0.500000,100.000000
320.525126,0.500000,100.000000
320.625151,0.500000,100.000000
320.725176,0.500000,100.000000
320.825201,0.500000,100.000000
320.925226,0.500000,100.000000
321.025251,0.500000,100.000000
321.125276,0.500000,100.000000
321.225301,0.500000,100.000000
321.325326,0.500000,100.000000
321.425351,0.500000,100.000000
321.525376,0.500000,100.000000
321.625401,0.500000,100.000000
321.725426,0.500000,100.000000
321.825451,0.500000,100.000000
321.925476,0.500000,100.000000
322.025501,0.500000,100.000000
322.125526,0.500000,100.000000
322.225551,0.500000,100.000000
322.325576,0.500000,100.000000
322.425601,0.500000,100.000000
322.525626,0.500000,100.000000
322.625651,0.500000,100.000000
322.725676,0.500000,100.000000
322.825701,0.500000,100.000000
322.925726,0.500000,100.000000
323.025751,0.500000,100.000000
323.125776,0.500000,100.000000
323.225801,0.500000,100.000000
323.325826,0.500000,100.000000
323.425851,0.500000,100.000000
323.525876,0.500000,100.000000
323.625901,0.500000,100.000000
323.725926,0.500000,100.000000
323.825951,0.500000,100.000000
323.925976,0.500000,100.000000
324.026002,0.500000,100.000000
324.126027,0.500000,100.000000
324.226052,0.500000,100.000000
324.326077,0.500000,100.000000
324.426102,0.500000,100.000000
324.526127,0.500000,100.000000
324.626152,0.500000,100.000000
324.726177,0.500000,100.000000
324.826202,0.500000,100.000000
324.926227,0.500000,100.000000
325.026252,0.500000,100.000000
325.126277,0.500000,100.000000
325.226302,0.500000,100.000000
325.326327,0.500000,100.000000
325.426352,0.500000,100.000000
325.526377,0.500000,100.000000
325.626402,0.500000,100.000000
325.726427,0.500000,100.000000
325.826452,0.500000,100.000000
325.926477,0.500000,100.000000
326.026502,0.500000,100.000000
326.126527,0.500000,100.000000
326.226552,0.500000,100.000000
326.326577,0.500000,100.000000
326.426602,0.500000,100.000000
326.526627,0.500000,100.000000
326.626652,0.500000,100.000000
326.726677,0.500000,100.000000
326.826702,0.500000,100.000000
326.926727,0.500000,100.000000
327.026752,0.500000,100.000000
327.126777,0.500000,100.000000
327.226802,0.500000,100.000000
327.326827,0.500000,100.000000
327.426852,0.500000,100.000000
327.526877,0.500000,100.000000
327.626902,0.500000,100.000000
327.726927,0.500000,100.000000
327.826952,0.500000,100.000000
327.926977,0.500000,100.000000
328.027002,0.500000,100.000000
328.127027,0.500000,100.000000
328.227052,0.500000,100.000000
328.327077,0.500000,100.000000
328.427102,0.500000,100.000000
328.527127,0.500000,100.000000
328.627152,0.500000,100.000000
328.727177,0.500000,100.000000
328.827202,0.500000,100.000000
328.927227,0.500000,100.000000
329.027252,0.500000,100.000000
329.127277,0.500000,100.000000
329.227302,0.500000,100.000000
329.327327,0.500000,100.000000
329.427352,0.500000,100.000000
329.527377,0.500000,100.000000
329.627402,0.500000,100.000000
329.727427,0.500000,100.000000
329.827452,0.500000,100.000000
329.927477,0.500000,100.000000
330.027502,0.500000,100.000000
330.127527,0.500000,100.000000
330.227552,0.500000,100.000000
330.327577,0.500000,100.000000
330.427602,0.500000,100.000000
330.527627,0.500000,100.000000
330.627652,0.500000,100.000000
330.727677,0.500000,100.000000
330.827702,0.500000,100.000000
330.927727,0.500000,100.000000
331.027752,0.500000,100.000000
331.127777,0.500000,100.000000
331.227802,0.500000,100.000000
331.327827,0.500000,100.000000
331.427852,0.500000,100.000000
331.527877,0.500000,100.000000
331.627902,0.500000,100.000000
331.727927,0.500000,100.000000
331.827952,0.500000,100.000000
331.927977,0.500000,100.000000
332.028002,0.500000,100.000000
332.128027,0.500000,100.000000
332.228052,0.500000,100.000000
332.328077,0.500000,100.000000
332.428102,0.500000,100.000000
332.528127,0.500000,100.000000
332.628152,0.500000,100.000000
332.728177,0.500000,100.000000
332.828202,0.500000,100.000000
332.928227,0.500000,100.000000
333.028252,0.500000,100.000000
333.128277,0.500000,100.000000
333.228302,0.500000,100.000000
333.328327,0.500000,100.000000
333.428352,0.500000,100.000000
333.528377,0.500000,100.000000
333.628402,0.500000,100.000000
333.728427,0.500000,100.000000
333.828452,0.500000,100.000000
333.928477,0.500000,100.000000
334.028502,0.500000,100.000000
334.128527,0.500000,100.000000
334.228552,0.500000,100.000000
334.328577,0.500000,100.000000
334.428602,0.500000,100.000000
334.528627,0.500000,100.000000
334.628652,0.500000,100.000000
334.728677,0.500000,100.000000
334.828702,0.500000,100.000000
334.928727,0.500000,100.000000
335.028752,0.500000,100.000000
335.128777,0.500000,100.000000
335.228802,0.500000,100.000000
335.328827,0.500000,100.000000
335.428852,0.500000,100.000000
335.528877,0.500000,100.000000
335.628902,0.500000,100.000000
335.728927,0.500000,100.000000
335.828952,0.500000,100.000000
335.928977,0.500000,100.000000
336.029002,0.500000,100.000000
336.129027,0.500000,100.000000
336.229052,0.500000,100.000000
336.329077,0.500000,100.000000
336.429102,0.500000,100.000000
336.529127,0.500000,100.000000
336.629152,0.500000,100.000000
336.729177,0.500000,100.000000
336.829202,0.500000,100.000000
336.929227,0.500000,100.000000
337.029252,0.500000,100.000000
337.129277,0.500000,100.000000
337.229302,0.499999,100.000000
337.329327,0.500003,100.000000
337.429352,0.499990,100.000000
337.529377,0.500031,100.000000
337.629402,0.499906,100.000000
337.729427,0.500268,100.000000
337.829452,0.499275,100.000000
337.929477,0.501851,100.000000
338.029502,0.495585,100.000000
338.129527,0.509914,100.000000
338.229552,0.479789,100.000000
338.329577,0.539302,100.000000
338.429602,0.435871,100.000000
338.529627,0.605529,100.000000
338.629652,0.376875,100.000000
338.729677,0.646623,100.000000
338.829702,0.415742,100.000000
338.929727,0.456257,100.000000
339.029752,0.742668,100.000000
339.129777,0.178274,100.000000
339.229802,1.157043,100.000000
339.329827,0.075897,100.000000
339.429852,1.376529,100.000000
339.529877,0.039166,100.000000
339.629902,1.516124,100.000000
339.729927,0.018719,100.000000
339.829952,1.625451,100.000000
339.929977,0.006454,100.000000
340.030003,1.706368,100.000000
340.130028,0.000000,100.000000
340.230053,0.000000,100.000000
340.330078,0.000000,100.000000
340.430103,0.000000,100.000000
340.530128,0.000000,100.000000
340.630153,0.000000,100.000000
340.730178,0.000000,100.000000
340.830203,0.000000,100.000000
340.930228,0.000000,100.000000
341.030253,0.000000,100.000000
341.130278,0.000000,100.000000
341.230303,0.000000,100.000000
341.330328,0.000000,100.000000
341.430353,0.000000,100.000000
341.530378,0.000000,100.000000
341.630403,0.000000,100.000000
341.730428,0.000000,100.000000
341.830453,0.000000,100.000000
341.930478,0.000000,100.000000
342.030503,0.000000,100.000000
342.130528,0.000000,100.000000
342.230553,0.000000,100.000000
342.330578,0.000000,100.000000
342.430603,0.000000,100.000000
342.530628,0.000000,100.000000
342.630653,0.000000,100.000000
342.730678,0.000000,100.000000
342.830703,0.000000,100.000000
342.930728,0.000000,100.000000
343.030753,0.000000,100.000000
343.130778,0.000000,100.000000
343.230803,0.000000,100.000000
343.330828,0.000000,100.000000
343.430853,0.000000,100.000000
343.530878,0.000000,100.000000
343.630903,0.000000,100.000000
343.730928,0.000000,100.000000
343.830953,0.000000,100.000000
343.930978,0.000000,100.000000
344.031003,0.000000,100.000000
344.131028,0.000000,100.000000
344.231053,0.000000,100.000000
344.331078,0.000000,100.000000
344.431103,0.000000,100.000000
344.531128,0.000000,100.000000
344.631153,0.000000,100.000000
344.731178,0.000000,100.000000
344.831203,0.000000,100.000000
344.931228,0.000000,100.000000
345.031253,0.000000,100.000000
345.131278,0.000000,100.000000
345.231303,0.000000,100.000000
345.331328,0.000000,100.000000
345.431353,0.000000,100.000000
345.531378,0.000000,100.000000
345.631403,0.000000,100.000000
345.731428,0.000000,100.000000
345.831453,0.000000,100.000000
345.931478,0.000000,100.000000
346.031503,0.000000,100.000000
346.131528,0.000000,100.000000
346.231553,0.000000,100.000000
346.331578,0.000000,100.000000
346.431603,0.000000,100.000000
346.531628,0.000000,100.000000
346.631653,0.000000,100.000000
346.731678,0.000000,100.000000
346.831703,0.000000,100.000000
346.931728,0.000000,100.000000
347.031753,0.000000,100.000000
347.131778,0.000000,100.000000
347.231803,0.000000,100.000000
347.331828,0.000000,100.000000
347.431853,0.000000,100.000000
347.531878,0.000000,100.000000
347.631903,0.000000,100.000000
347.731928,0.000000,100.000000
347.831953,0.000000,100.000000
347.931978,0.000000,100.000000
348.032003,0.000000,100.000000
348.132028,0.000000,100.000000
348.232053,0.000000,100.000000
348.332078,0.000000,100.000000
348.432103,0.000000,100.000000
348.532128,0.000000,100.000000
348.632153,0.000000,100.000000
348.732178,0.000000,100.000000
348.832203,0.000000,100.000000
348.932228,0.000000,100.000000
349.032253,0.000000,100.000000
